id,title,titlePinyin,titleEnglish,notBefore,notAfter,dzt_date
KR1a,易類,Yì lèi,Classics — Book of Changes,,,
KR1a0001,周易,Zhōuyì,The Changes of Zhōu,-900,-100,
KR1a0002,子夏易傳,Zǐxià Yìzhuàn,Zǐxià's Commentary on the Changes,618,1279,
KR1a0003,周易鄭康成註,Zhōuyì Zhèng Kāngchéng zhù,Zhèng Kāngchéng's Commentary on the Zhōuyì,1241,1296,
KR1a0004,增補鄭氏周易,Zēngbǔ Zhèng shì Zhōuyì,The Augmented Zhèng-Family Zhōuyì,1730,1758,
KR1a0005,陸氏易解,Lùshì Yìjiě,Master Lù's Explanations of the Yì,1590,1620,
KR1a0006,周易註,Zhōuyì zhù,Commentary on the Zhōuyì,240,380,
KR1a0007,周易註疏,Zhōuyì zhùshū,The Zhōuyì with Notes and Subcommentary,638,653,
KR1a0008,周易集解,Zhōuyì jíjiě,Collected Explanations of the Zhōuyì,755,800,
KR1a0009,周易口訣義,Zhōuyì kǒujué yì,The Mnemonic-Verse Meaning of the Zhōuyì,700,900,
KR1a0010,周易擧正,Zhōuyì jǔzhèng,The Zhōuyì with Errors Corrected,950,1023,
KR1a0011,易數鉤隱圖,Yìshù gōuyǐn tú,Charts for Probing the Hidden Meaning of the Figures of the Yì,1030,1064,
KR1a0012,周易口義,Zhōuyì kǒuyì,The Oral-Lecture Meaning of the Zhōuyì,1040,1080,
KR1a0013,溫公易說,Wēngōng Yì shuō,Wēngōng's Talks on the Yì,1060,1086,
KR1a0014,橫渠易說,Héngqú Yì shuō,Master Héngqú's Talks on the Yì,1060,1077,
KR1a0015,東坡易傳,Dōngpō Yìzhuàn,Master Dōngpō's Commentary on the Yì,1080,1101,
KR1a0016,伊川易傳,Yīchuān Yìzhuàn,Master Yīchuān's Commentary on the Yì,1097,1099,
KR1a0017,易學辨惑,Yìxué biànhuò,Disambiguating the Confusions of Yì Learning,1100,1134,
KR1a0018,了齋易說,Liǎozhāi Yì shuō,Master Liǎozhāi's Talks on the Yì,1100,1124,
