KR0001	所
KR0002	若
KR0003	說
KR0004	𥘉
KR0005	将
KR0006	兮
KR0007	玄
KR0008	𤭔
KR0009	寄
KR0010	歲
KR0011	類
KR0012	孤
KR0013	𬒳
KR0014	能
KR0015	笑
KR0016	騎
KR0017	鬼
KR0018	負
KR0019	傳
KR0020	勢
KR0021	祭
KR0022	邦
KR0023	獲
KR0024	𥙷
KR0025	從
KR0026	觀
KR0027	龜
KR0028	關
KR0029	倚
KR0030	畫
KR0031	雙
KR0032	隷
KR0033	直
KR0035	樹
KR0036	發
KR0037	棗
KR0038	國
KR0039	點
KR0040	雨
KR0041	蒙
KR0042	弘
KR0043	宿
KR0044	熱
KR0045	揚
KR0046	隱
KR0047	南
KR0048	郎
KR0049	候
KR0050	瓜
KR0051	晉
KR0052	經
KR0053	收
KR0054	博
KR0055	深
KR0056	卿
KR0057	尤
KR0058	黎
KR0059	私
KR0060	竊
KR0061	袁
KR0062	戦
KR0063	應
KR0064	暴
KR0065	邊
KR0066	鬢
KR0067	庾
KR0068	棘
KR0069	灰
KR0070	數
KR0071	繼
KR0072	冤
KR0073	𥙿
KR0074	桓
KR0075	淫
KR0076	弦
KR0077	却
KR0078	姬
KR0079	肉
KR0080	苑
KR0081	葛
KR0082	𣣔
KR0083	𥿄
KR0084	歌
KR0085	足
KR0086	悪
KR0087	秦
KR0088	耶
KR0089	葬
KR0090	象
KR0091	稱
KR0092	陵
KR0093	絲
KR0094	𧖟
KR0095	土
KR0096	權
KR0097	蜜
KR0098	允
KR0099	慨
KR0100	軌
KR0101	監
KR0102	弊
KR0103	撰
KR0104	憂
KR0105	誼
KR0106	恒
KR0107	釵
KR0108	奮
KR0109	襟
KR0110	曄
KR0111	忘
KR0112	黍
KR0113	脩
KR0114	卜
KR0115	冥
KR0116	覺
KR0117	釐
KR0118	遷
KR0119	臾
KR0120	𧺫
KR0121	剿
KR0122	掾
KR0123	吉
KR0124	類
KR0125	冊
KR0126	穢
KR0127	輕
KR0128	派
KR0129	𫀆
KR0130	履
KR0131	緊
KR0132	耆
KR0133	碩
KR0134	勸
KR0135	助
KR0136	過
KR0137	或
KR0138	纔
KR0139	顯
KR0140	卑
KR0141	贓
KR0142	𣏌
KR0143	彖
KR0144	篆
KR0145	取
KR0147	聊
KR0148	氣
KR0149	靈
KR0150	糓
KR0151	塗
KR0152	哭
KR0153	參
KR0154	曷
KR0155	升
KR0156	彝
KR0157	攜
KR0158	迴
KR0159	慶
KR0160	華
KR0161	鬚
KR0162	捐
KR0163	埸
KR0164	簡
KR0165	洩
KR0166	鼎
KR0167	𣸪
KR0168	衷
KR0169	隙
KR0170	蒙
KR0171	蘇
KR0172	歡
KR0173	隆
KR0174	死
KR0175	再
KR0176	膝
KR0177	燁
KR0178	恐
KR0179	船
KR0180	懶
KR0181	𬗋
KR0182	充
KR0183	垂
KR0184	拚
KR0185	驥
KR0186	輒
KR0187	裡
KR0188	𬞞
KR0189	荒
KR0190	𢾗
KR0191	踏
KR0192	確
KR0193	冡
KR0194	寵
KR0195	卷
KR0196	烟
KR0197	號
KR0198	沔
KR0199	舊
KR0200	瑣
KR0201	邃
KR0202	嚴
KR0203	朔
KR0204	指
KR0205	遽
KR0206	豳
KR0207	鉞
KR0208	趣
KR0209	𬒮
KR0210	遮
KR0211	弓
KR0212	彛
KR0213	舍
KR0214	蚩
KR0215	隻
KR0216	忍
KR0217	敕
KR0218	那
KR0219	黠
KR0220	虧
KR0221	袒
KR0222	漾
KR0223	選
KR0224	網
KR0225	𬗟
KR0226	珊
KR0227	冠
KR0228	慘
KR0229	役
KR0230	寢
KR0231	戲
KR0232	複
KR0233	豔
KR0234	聽
KR0235	鳳
KR0236	錫
KR0237	𥜗
KR0239	勅
KR0240	涿
KR0241	致
KR0242	鬪
KR0243	潤
KR0244	適
KR0245	羹
KR0246	絃
KR0247	衒
KR0248	候
KR0249	𬋩
KR0250	狀
KR0251	𫾣
KR0252	茫
KR0253	蔣
KR0254	腴
KR0255	沒
KR0256	冥
KR0257	𠫭
KR0258	雜
KR0259	攬
KR0260	褐
KR0261	渺
KR0262	𣪚
KR0264	添
KR0265	熙
KR0266	器
KR0267	瀝
KR0268	慈
KR0269	吐
KR0270	溥
KR0271	𨳩
KR0272	離
KR0273	幸
KR0274	𫐠
KR0275	颶
KR0276	婺
KR0277	簾
KR0278	優
KR0279	臺
KR0280	峯
KR0281	解
KR0282	屐
KR0283	衍
KR0284	籟
KR0285	嗜
KR0286	嵇
KR0287	瘞
KR0288	髮
KR0289	鋒
KR0290	罽
KR0291	總
KR0292	躔
KR0293	𪷟
KR0294	鬼
KR0295	昴
KR0296	賾
KR0297	速
KR0298	再
KR0299	寂
KR0300	投
KR0301	妄
KR0302	𡵨
KR0303	眺
KR0304	寐
KR0305	形
KR0307	餳
KR0308	漿
KR0310	𥚹
KR0311	仇
KR0312	算
KR0313	盈
KR0314	涅
KR0315	廕
KR0316	那
KR0317	愆
KR0318	琦
KR0319	饌
KR0321	帶
KR0322	𥚑
KR0323	𣢾
KR0324	獎
KR0325	羔
KR0326	廻
KR0327	笛
KR0328	罟
KR0329	嚏
KR0330	韋
KR0331	𬎼
KR0332	胤
KR0333	亂
KR0334	魄
KR0335	留
KR0336	胸
KR0337	瘍
KR0338	廩
KR0339	嗤
KR0340	薇
KR0341	𤱔
KR0342	傍
KR0343	?
KR0344	示
KR0345	蠶
KR0346	飾
KR0347	瓌
KR0348	免
KR0349	囂
KR0350	縛
KR0351	廨
KR0352	鄘
KR0353	爇
KR0354	麓
KR0355	琢
KR0356	含
KR0357	惕
KR0358	榷
KR0359	㴱
KR0360	𣆀
KR0361	叔
KR0362	𧃊
KR0363	蓬
KR0364	滕
KR0365	眩
KR0366	搏
KR0367	偃
KR0368	優
KR0369	叟
KR0370	退
KR0371	蔲
KR0372	丼
KR0373	畎
KR0374	纏
KR0375	𢡟
KR0376	絶
KR0378	泥
KR0379	纔
KR0380	玖
KR0381	壒
KR0382	蓬
KR0383	畝
KR0384	致
KR0385	弼
KR0386	涵
KR0387	脊
KR0388	肸
KR0389	𥅆
KR0390	𥪡
KR0391	臧
KR0392	熬
KR0393	蟲
KR0394	𣑽
KR0395	𦦨
KR0396	眇
KR0397	寝
KR0398	腰
KR0399	皐
KR0400	猿
KR0401	卵
KR0402	敡
KR0403	沿
KR0404	邐
KR0405	面
KR0406	驂
KR0407	卯
KR0408	適
KR0409	缺
KR0410	芍
KR0411	貔
KR0412	汊
KR0413	粱
KR0414	纏
KR0415	最
KR0416	疆
KR0417	滯
KR0418	奉
KR0419	闕
KR0420	窓
KR0421	夷
KR0422	徊
KR0423	羌
KR0424	臭
KR0425	獺
KR0426	簪
KR0427	僭
KR0428	幹
KR0429	慘
KR0430	靂
KR0431	罝
KR0432	空
KR0433	蓍
KR0434	篡
KR0435	𢋫
KR0436	毶
KR0437	鄽
KR0438	瓜
KR0439	戕
KR0440	廢
KR0441	廳
KR0442	媚
KR0443	契
KR0444	窈
KR0445	㪺
KR0446	乖
KR0447	刑
KR0448	草
KR0449	罩
KR0450	督
KR0451	牀
KR0452	壈
KR0453	闕
KR0454	衷
KR0455	𣅿
KR0456	羃
KR0457	䛇
KR0458	伎
KR0459	候
KR0460	敺
KR0461	步
KR0462	襍
KR0463	𤇺
KR0464	杰
KR0465	侂
KR0466	凌
KR0467	潜
KR0468	晋
KR0469	墟
KR0470	巇
KR0471	芉
KR0472	墨
KR0473	疹
KR0474	釋
KR0475	團
KR0476	邅
KR0477	洪
KR0478	寗
KR0479	𩕄
KR0480	兔
KR0481	竄
KR0482	罥
KR0483	逸
KR0484	瘠
KR0485	急
KR0486	泓
KR0487	骨
KR0488	藻
KR0489	匈
KR0490	䕫
KR0491	櫪
KR0492	𪠘
KR0493	滏
KR0494	曩
KR0495	兇
KR0496	最
KR0497	備
KR0498	缶
KR0499	辜
KR0500	濩
KR0501	劇
KR0502	怵
KR0503	追
KR0504	囊
KR0505	鮑
KR0506	慰
KR0507	殷
