cp_hex	char	count	block	category	name
U+FF0C	，	1994	Halfwidth and Fullwidth Forms	Po	FULLWIDTH COMMA
U+3002	。	1956	CJK Symbols and Punctuation	Po	IDEOGRAPHIC FULL STOP
U+300A	《	1050	CJK Symbols and Punctuation	Ps	LEFT DOUBLE ANGLE BRACKET
U+300B	》	1050	CJK Symbols and Punctuation	Pe	RIGHT DOUBLE ANGLE BRACKET
U+4E5F	也	961	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E5F
U+FF1A	：	944	Halfwidth and Fullwidth Forms	Po	FULLWIDTH COLON
U+3001	、	881	CJK Symbols and Punctuation	Po	IDEOGRAPHIC COMMA
U+300C	「	843	CJK Symbols and Punctuation	Ps	LEFT CORNER BRACKET
U+300D	」	843	CJK Symbols and Punctuation	Pe	RIGHT CORNER BRACKET
U+4E4B	之	613	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E4B
U+66F0	曰	587	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-66F0
U+8C61	象	483	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8C61
U+4EE5	以	474	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EE5
U+4E0D	不	424	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E0D
U+5176	其	386	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5176
U+800C	而	370	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-800C
U+6709	有	344	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6709
U+65E0	无	299	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65E0
U+5409	吉	287	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5409
U+4E0A	上	246	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E0A
U+516D	六	241	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-516D
U+5927	大	225	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5927
U+4E5D	九	224	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E5D
U+5229	利	215	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5229
U+5929	天	213	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5929
U+4EBA	人	211	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EBA
U+4E0B	下	204	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E0B
U+5B50	子	192	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B50
U+70BA	為	183	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-70BA
U+8005	者	180	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8005
U+8C9E	貞	176	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8C9E
U+548E	咎	159	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-548E
U+4E2D	中	153	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E2D
U+884C	行	153	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-884C
U+6545	故	152	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6545
