cp_hex	char	count	block	category	name
U+4E5F	也	4931	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E5F
U+66F0	曰	4094	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-66F0
U+4E4B	之	3613	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E4B
U+6545	故	3540	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6545
U+70BA	為	3049	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-70BA
U+4EE5	以	2060	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EE5
U+800C	而	1633	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-800C
U+4E0D	不	1625	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E0D
U+865E	虞	1335	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-865E
U+5176	其	1299	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5176
U+7FFB	翻	1299	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7FFB
U+4E0A	上	1240	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E0A
U+8B02	謂	1202	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8B02
U+6709	有	1165	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6709
U+4E94	五	1133	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E94
U+8C61	象	1113	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8C61
U+4E09	三	1100	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E09
U+4E7E	乾	1084	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E7E
U+5764	坤	1070	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5764
U+4E8C	二	998	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E8C
U+8005	者	986	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8005
U+5929	天	952	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5929
U+56DB	四	895	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-56DB
U+65E0	无	878	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65E0
U+4EBA	人	870	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4EBA
U+5927	大	857	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5927
U+4E0B	下	847	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E0B
U+967D	陽	800	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-967D
U+5247	則	792	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5247
U+4F4D	位	765	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F4D
U+5F97	得	747	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5F97
U+5728	在	724	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5728
U+6B63	正	723	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B63
U+65BC	於	720	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-65BC
U+574E	坎	717	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-574E
U+4E2D	中	712	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E2D
U+9682	隂	694	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9682
U+6210	成	648	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6210
U+521D	初	638	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-521D
U+7269	物	634	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7269
U+5B50	子	618	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B50
U+5409	吉	617	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5409
U+541B	君	598	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-541B
U+9707	震	594	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9707
U+884C	行	580	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-884C
U+4E5D	九	564	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E5D
U+52D5	動	560	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-52D5
U+77E3	矣	549	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-77E3
U+8A00	言	549	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8A00
U+8B8A	變	546	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8B8A
U+5229	利	526	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5229
U+61C9	應	523	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-61C9
U+96E2	離	514	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-96E2
U+9053	道	511	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9053
U+5730	地	505	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5730
U+516D	六	502	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-516D
U+6240	所	474	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6240
U+6613	易	473	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6613
U+53EF	可	433	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53EF
U+826E	艮	428	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-826E
U+5DFD	巽	417	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5DFD
U+5366	卦	414	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5366
U+9AD4	體	414	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9AD4
U+25CB	○	409	Geometric Shapes	So	WHITE CIRCLE
U+738B	王	405	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-738B
