kind	token	count
pb-total	<pb:...>	1131
pb-sample	<pb:KR1a0008_WYG_011-1a>	1
pb-sample	<pb:KR1a0008_WYG_011-1b>	1
pb-sample	<pb:KR1a0008_WYG_011-2a>	1
pb-sample	<pb:KR1a0008_WYG_011-2b>	1
pb-sample	<pb:KR1a0008_WYG_011-3a>	1
pb-sample	<pb:KR1a0008_WYG_011-3b>	1
pb-sample	<pb:KR1a0008_WYG_011-4a>	1
pb-sample	<pb:KR1a0008_WYG_011-4b>	1
pb-sample	<pb:KR1a0008_WYG_011-5a>	1
pb-sample	<pb:KR1a0008_WYG_011-5b>	1
pb-sample	<pb:KR1a0008_WYG_011-6a>	1
pb-sample	<pb:KR1a0008_WYG_011-6b>	1
pb-sample	<pb:KR1a0008_WYG_011-7a>	1
pb-sample	<pb:KR1a0008_WYG_011-7b>	1
pb-sample	<pb:KR1a0008_WYG_011-8a>	1
pb-sample	<pb:KR1a0008_WYG_011-8b>	1
pb-sample	<pb:KR1a0008_WYG_011-9a>	1
pb-sample	<pb:KR1a0008_WYG_011-9b>	1
pb-sample	<pb:KR1a0008_WYG_011-10a>	1
pb-sample	<pb:KR1a0008_WYG_011-10b>	1
