Variant_Code	Variant_Character	Representative_Code	Representative_Character	Representative_Sellecting
U+9A10	騐	U+9A57	驗	TW1
U+508F	傏	U+642A	搪	TW1
U+6D12	洒	U+7051	灑	TW1
U+8FEF	迯	U+9003	逃	TW1
U+7147	煇	U+8F1D	輝	TW1
U+57BB	垻	U+58E9	壩	TW1
U+7CA7	粧	U+599D	妝	TW1
U+8024	耤	U+85C9	藉	TW1
U+8A01	訁	U+8A00	言	TW1
U+8FA2	辢	U+8FA3	辣	TW1
U+8975	襵	U+8936	褶	TW1
U+20587	𠖇	U+51A5	冥	TW1
U+3760	㝠	U+51A5	冥	TW1
U+348B	㒋	U+5EDD	廝	TW1
U+53AE	厮	U+5EDD	廝	TW1
U+5BBB	宻	U+5BC6	密	TW1
U+3C43	㱃	U+98F2	飲	TW1
U+60B3	悳	U+5FB7	德	TW1
U+60EA	惪	U+5FB7	德	TW1
U+3A57	㩗	U+651C	攜	TW1
U+3A66	㩦	U+651C	攜	TW1
U+643A	携	U+651C	攜	TW1
U+64D5	擕	U+651C	攜	TW1
U+725C	牜	U+725B	牛	TW1
U+5EF9	廹	U+8FEB	迫	TW1
U+28E93	𨺓	U+9686	隆	TW1
U+2EE39	𮸹	U+9867	顧	TW1
U+980B	頋	U+9867	顧	TW1
U+987E	顾	U+9867	顧	TW1
U+51DF	凟	U+7006	瀆	TW1
U+7982	禂	U+79B1	禱	TW1
U+3432	㐲	U+4F0F	伏	TW1
U+6B71	歱	U+8E35	踵	TW1
U+61DC	懜	U+61F5	懵	TW1
U+657A	敺	U+9A45	驅	TW1
U+99C8	駈	U+9A45	驅	TW1
U+7F99	羙	U+7F8E	美	TW1
U+7385	玅	U+5999	妙	TW1
U+4E49	义	U+7FA9	義	TW1
U+5E99	庙	U+5EDF	廟	TW1
U+4E79	乹	U+4E7E	乾	TW1
U+4E81	亁	U+4E7E	乾	TW1
U+8FE8	迨	U+902E	逮	TW1
U+3C7F	㱿	U+6BBC	殼	TW1
U+58F3	壳	U+6BBC	殼	TW1
U+6BBB	殻	U+6BBC	殼	TW1
U+26675	𦙵	U+8155	腕	TW1
U+26400	𦐀	U+821E	舞	TW1
U+4611	䘑	U+8108	脈	TW1
U+8109	脉	U+8108	脈	TW1
U+8847	衇	U+8108	脈	TW1
U+3AD6	㫖	U+65E8	旨	TW1
U+2456F	𤕯	U+6F3F	漿	TW1
U+4EB1	亱	U+591C	夜	TW1
U+649F	撟	U+5B0C	嬌	TW1
U+28EEA	𨻪	U+9675	陵	TW1
U+8864	衤	U+8863	衣	TW1
U+25997	𥦗	U+7A97	窗	TW1
U+41AB	䆫	U+7A97	窗	TW1
U+724E	牎	U+7A97	窗	TW1
U+7255	牕	U+7A97	窗	TW1
U+7A93	窓	U+7A97	窗	TW1
U+7ABB	窻	U+7A97	窗	TW1
U+24360	𤍠	U+71B1	熱	TW1
U+4B03	䬃	U+98AF	颯	TW1
U+4E71	乱	U+4E82	亂	TW1
U+5050	偐	U+8D17	贗	TW1
U+8D0B	贋	U+8D17	贗	TW1
U+8F19	輙	U+8F12	輒	TW1
U+39B8	㦸	U+621F	戟	TW1
U+20503	𠔃	U+516E	兮	TW1
U+489C	䢜	U+6B78	歸	TW1
U+5F52	归	U+6B78	歸	TW1
U+5AFA	嫺	U+5AFB	嫻	TW1
U+8803	蠃	U+87BA	螺	TW1
U+9E9E	麞	U+7350	獐	TW1
U+70B0	炰	U+70AE	炮	TW1
U+7832	砲	U+70AE	炮	TW1
