replace	cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types	major_sources	minor_sources
yes	U+4E8C	二	4463849	U+2011E	𠄞	2	2231924.500	kSpoofingVariant	GHJKpKT1V/AGTJHKMP	GJT6
yes	U+4E8C	二	4463849	U+2011F	𠄟	2	2231924.500	kSpoofingVariant	GHJKpKT1V/AGTJHKMP	GJT6
yes	U+4F7F	使	1488455	U+20B46	𠭆	1	1488455.000	kSemanticVariant	GHJKpKT1V/AGTJHKMP	G
yes	U+897F	西	1436511	U+209E7	𠧧	1	1436511.000	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GHK
yes	U+8ECD	軍	991178	U+519B	军	1	991178.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+5929	天	3283065	U+975D	靝	4	820766.250	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GHJKpKT3
yes	U+5FC3	心	2242330	U+38FA	㣺	3	747443.333	kSemanticVariant	GHJKpKT1V/AGTJHKMP	HJKT6
yes	U+767C	發	695873	U+53D1	发	1	695873.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+8CE2	賢	528178	U+8D24	贤	1	528178.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+89C0	觀	920609	U+89C2	观	2	460304.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
yes	U+9918	餘	912088	U+9980	馀	2	456044.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GM/CG
yes	U+99AC	馬	887032	U+9A6C	马	2	443516.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+8A54	詔	403345	U+8BCF	诏	1	403345.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/CG
yes	U+8ECA	車	397484	U+8F66	车	1	397484.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+91D1	金	1042446	U+91D2	釒	3	347482.000	kSemanticVariant	GHJKpKT1V/AGTJHKMP	G
yes	U+8D99	趙	335220	U+8D75	赵	1	335220.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+6A39	樹	323397	U+6811	树	1	323397.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GTF/AG
yes	U+694A	楊	306403	U+6768	杨	1	306403.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7E23	縣	1219285	U+53BF	县	4	304821.250	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9023	連	282459	U+8FDE	连	1	282459.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+5668	器	260313	U+20F96	𠾖	1	260313.000	kSpoofingVariant	GHJKpKT1V/AGTJHKMP	GKpT4
yes	U+8A00	言	2861793	U+8A01	訁	11	260163.000	kSemanticVariant	GHJKpKT1V/AGTJHKMP	G
yes	U+5713	圓	257468	U+5706	圆	1	257468.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+967D	陽	1268786	U+6C1C	氜	5	253757.200	kSemanticVariant	GHJKpKT1V/ATJHKMP	GHJKpT3
