replace	cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types	major_sources	minor_sources
yes	U+522B	别	379099	U+5F46	彆	103	3680.573	kSimplifiedVariant,kTraditionalVariant	GJT3/AG	GHJKpKT1/ATHM
yes	U+9C0C	鰌	1984	U+9B77	魷	2	992.000	kSemanticVariant	GHJKpKT3/CJ	GHJKT1/ATHM
yes	U+6C37	氷	60179	U+51AB	冫	263	228.817	kSemanticVariant	GHJKpKT3/AJKP	GHJKpKT1
yes	U+807B	聻	2626	U+9B59	魙	15	175.067	kSemanticVariant	GJKpKT3	GHJKpKT2
yes	U+52D1	勑	34612	U+5008	倈	224	154.518	kSemanticVariant	GHJKpKT3V	GHJKpKT3V/CT
yes	U+671E	朞	7641	U+7A18	稘	62	123.242	kSemanticVariant	GHJKpKT3U/AKP	GHJKpKT2
yes	U+763B	瘻	2514	U+763A	瘺	22	114.273	kSemanticVariant	GHJKpKT3V/AKP	GHJKT1V/AT
yes	U+5179	兹	128134	U+7386	玆	1483	86.402	kSemanticVariant	GHJKpT3/AG	GHJKpKT1/ATHKP
yes	U+72E5	狥	10410	U+4F9A	侚	149	69.866	kSemanticVariant	GJKT3	GHJKpKT2
yes	U+9B8E	鮎	1557	U+9BF0	鯰	23	67.696	kSemanticVariant	GHJKpKT3V/AJKP	GHJKT2/BTJ
yes	U+5F11	弑	49202	U+5F12	弒	908	54.187	kSimplifiedVariant,kTraditionalVariant	GJKpKT3V/AGJKP	GHJT1/ATHM
yes	U+7F47	罇	8517	U+58AB	墫	162	52.574	kSemanticVariant	GHJKpKT3	GHJKT2V
yes	U+FA11	﨑	5426	U+966D	陭	155	35.006	kSemanticVariant	GJU	GHJKpKT2
yes	U+9AE0	髠	7532	U+9AE1	髡	237	31.781	kSemanticVariant	GHJKpKT3	GHJKpKT1/AGT
yes	U+699D	榝	398	U+6A27	樧	13	30.615	kZVariant	GJT3	GHJKpKT2
yes	U+5450	呐	1191	U+5436	吶	42	28.357	kSimplifiedVariant,kTraditionalVariant	GJKT3V/AG	GHJKpKT1/ATJHM
yes	U+7AC8	竈	23435	U+7076	灶	960	24.411	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant	GHJKpKT3/CJ	GHJKpKT1V/AGTHM
yes	U+8842	衂	7573	U+8844	衄	353	21.453	kSemanticVariant	GHJKpKT3	GHJKpKT2V/BGM
yes	U+9E7B	鹻	819	U+78B1	碱	43	19.047	kSemanticVariant	GHJKpKT3	GHJKT3/AGT
