var_cp	var_char	reg_cp	reg_char	remarks
U+5382	厂	U+5EE0	廠	src=GB2013
U+535C	卜	U+535C,U+8514	卜蔔	var-also-canonical-elsewhere; reg-also-variant-elsewhere:卜; multi-target (2); src=GB2013
U+513F	儿	U+5152	兒	src=GB2013
U+51E0	几	U+51E0,U+5E7E	几幾	var-also-canonical-elsewhere; reg-also-variant-elsewhere:几; multi-target (2); src=GB2013
U+4E86	了	U+4E86,U+77AD	了瞭	var-also-canonical-elsewhere; reg-also-variant-elsewhere:了; multi-target (2); src=GB2013
U+5EFC	廼	U+4E43	乃	src=GB2013,Var-to-Rep
U+8FFA	迺	U+4E43	乃	src=GB2013,Var-to-Rep
U+5E72	干	U+5E72,U+4E7E,U+5E79	干乾幹	var-also-canonical-elsewhere; reg-also-variant-elsewhere:干; multi-target (3); src=GB2013
U+4E79	乹	U+4E7E	乾	src=GB2013,Var-to-Rep
U+4E81	亁	U+4E7E	乾	src=GB2013,Var-to-Rep
U+69A6	榦	U+5E79	幹	src=GB2013,Var-to-Rep
U+4E8F	亏	U+8667,U+4E8E	虧于	multi-target (2); src=GB2013,Var-to-Rep
U+4E0E	与	U+8207	與	src=GB2013,Var-to-Rep
U+4E07	万	U+4E07,U+842C	万萬	var-also-canonical-elsewhere; reg-also-variant-elsewhere:万; multi-target (2); src=GB2013,Var-to-Rep
U+5343	千	U+5343,U+97C6	千韆	var-also-canonical-elsewhere; reg-also-variant-elsewhere:千; multi-target (2); src=GB2013
U+4EBF	亿	U+5104	億	src=GB2013
U+4E2A	个	U+500B	個	src=GB2013,Var-to-Rep
U+7B87	箇	U+500B	個	src=GB2013,Var-to-Rep
U+4E48	么	U+9EBD	麽	var-also-canonical-elsewhere; reg-also-variant-elsewhere:麽; src=GB2013
U+51E2	凢	U+51E1	凡	src=GB2013,Var-to-Rep
U+5E7F	广	U+5EE3	廣	src=GB2013
U+4EBE	亾	U+4EA1	亡	src=GB2013,Var-to-Rep
U+95E8	门	U+9580	門	src=GB2013,Var-to-Rep
U+6792	枒	U+4E2B	丫	src=GB2013,Var-to-Rep
