cp_hex	char	count
U+4E4B	之	20814583
U+4E0D	不	12930557
U+4EE5	以	10228154
U+4E5F	也	8557168
U+800C	而	8529592
U+4E00	一	8243652
U+6709	有	8049173
U+70BA	為	7866090
U+8005	者	7789852
U+4EBA	人	7457310
U+5176	其	7171158
U+7121	無	5603422
U+66F0	曰	5324469
U+65BC	於	5230968
U+4E8C	二	5104077
U+4E09	三	5060189
U+5341	十	4915729
U+5B50	子	4833991
U+5927	大	4776622
U+662F	是	4750345
U+6240	所	4604682
U+4E2D	中	4379716
U+6B64	此	4252628
U+5982	如	4216290
U+4E0A	上	3873651
U+6545	故	3843843
U+4E0B	下	3784606
U+751F	生	3669579
U+5247	則	3661275
U+5929	天	3374874
U+5F97	得	3242243
U+4E94	五	3190765
U+56DB	四	3130857
U+81EA	自	3063838
U+5E74	年	2944844
U+53EF	可	2934403
U+884C	行	2908188
U+8A00	言	2897211
U+6642	時	2825553
U+5728	在	2789267
U+81F3	至	2735611
U+6CD5	法	2721465
U+65E5	日	2710012
U+5FC3	心	2704704
U+738B	王	2659808
U+4E91	云	2588090
U+4E8B	事	2581073
U+898B	見	2565785
U+77E5	知	2549470
U+76F8	相	2482049
U+8207	與	2466087
U+9053	道	2461704
U+5F8C	後	2400055
U+660E	明	2361720
U+540D	名	2361533
U+4EA6	亦	2336510
U+5C71	山	2326324
U+82E5	若	2295061
U+53C8	又	2277867
U+516C	公	2249680
U+80FD	能	2238068
U+4F55	何	2221271
U+7528	用	2202438
U+6587	文	2150641
U+51FA	出	2143604
U+66F8	書	2142329
U+8B02	謂	2125868
U+6C34	水	2103789
U+8AF8	諸	2095777
U+65B9	方	2093187
U+6708	月	2045279
U+4F5C	作	2037967
U+7136	然	2013058
U+975E	非	2005735
U+5206	分	2000695
U+7686	皆	1958764
U+516D	六	1953272
U+4ECA	今	1942139
U+5730	地	1878515
U+5373	即	1853449
U+672A	未	1848385
U+6210	成	1830552
U+5357	南	1822529
U+6B63	正	1807122
U+6C23	氣	1793416
U+5165	入	1789886
U+7D93	經	1782125
U+4F86	來	1780533
U+7576	當	1703308
U+767E	百	1686948
U+5DDE	州	1678020
U+540C	同	1676895
U+7B49	等	1675106
U+967D	陽	1664924
U+4E16	世	1664792
U+77E3	矣	1598660
U+5E2B	師	1597472
U+53BB	去	1593816
U+541B	君	1571693
U+524D	前	1566571
U+570B	國	1558566
U+53CA	及	1555268
U+5DF2	已	1551010
U+98A8	風	1544140
U+592A	太	1536971
U+4F5B	佛	1518672
U+4F7F	使	1507767
U+672C	本	1505282
U+5169	兩	1501881
U+6771	東	1484488
U+6CBB	治	1479931
U+4E03	七	1464498
U+4E43	乃	1461552
U+591A	多	1441295
U+516B	八	1438341
U+6211	我	1417270
U+9580	門	1412516
U+592B	夫	1407881
U+5F9E	從	1405816
U+767D	白	1405589
U+81E3	臣	1404595
U+897F	西	1402547
U+5FA9	復	1399133
U+5148	先	1386465
U+8AAA	說	1385711
U+5C0F	小	1378916
U+9577	長	1363327
U+6216	或	1362326
U+4E8E	于	1361388
U+4E28	丨	1357854
U+4E5D	九	1349558
U+5B98	官	1335123
U+5B89	安	1334762
U+7FA9	義	1334541
U+8EAB	身	1323861
U+56E0	因	1322459
U+670D	服	1310563
U+5143	元	1301050
U+4EE4	令	1275399
U+8655	處	1260165
U+6B32	欲	1250062
U+6C0F	氏	1231452
U+5916	外	1229551
U+58EB	士	1227263
U+5C07	將	1208274
U+5BB6	家	1193474
U+521D	初	1193449
U+842C	萬	1190052
U+901A	通	1176599
U+4E3B	主	1171705
U+5FC5	必	1163662
U+61C9	應	1163263
U+795E	神	1151645
U+91D1	金	1146432
U+5BE6	實	1141903
U+5E73	平	1134826
U+610F	意	1133295
U+5584	善	1132875
U+5404	各	1128488
U+5B78	學	1121629
U+79AE	禮	1119954
U+7E23	縣	1114084
U+6578	數	1113298
U+5E1D	帝	1101142
U+98DF	食	1098821
U+6B78	歸	1092019
U+805E	聞	1090253
U+5343	千	1080570
U+8A69	詩	1077309
U+50B3	傳	1059367
U+554F	問	1047877
U+77F3	石	1047261
U+5E38	常	1046521
U+4E4E	乎	1042523
U+5B9A	定	1033079
U+5317	北	1032492
U+9322	錢	1018423
U+6C11	民	1007310
U+6E05	清	1006727
U+91CD	重	1003954
U+57CE	城	1000080
U+53D6	取	996117
U+5408	合	992645
U+7269	物	991688
U+7ACB	立	988573
U+547D	命	985129
U+5B57	字	983879
U+548C	和	983640
U+9918	餘	979116
U+91CC	里	978477
U+53E4	古	973286
U+904E	過	969018
U+9593	間	968123
U+5207	切	965131
U+767C	發	964990
U+8ECD	軍	961741
U+8D77	起	953797
U+89C0	觀	949175
U+8AD6	論	946275
U+5B97	宗	946150
U+8DB3	足	943458
U+8056	聖	936653
U+7B2C	第	933192
U+53D7	受	928491
U+6A02	樂	926936
U+8272	色	924305
U+671D	朝	923482
U+6B7B	死	919262
U+5C11	少	919140
U+7406	理	918720
U+96D6	雖	918393
U+5C45	居	909853
U+71B1	熱	904469
U+7232	爲	903120
U+6C5F	江	895431
U+5BD2	寒	889978
U+6625	春	881906
U+7A7A	空	881102
U+4FBF	便	879036
U+5175	兵	873214
U+6027	性	861652
U+99AC	馬	859865
U+5229	利	844596
U+75C5	病	843665
U+5468	周	841046
U+6B21	次	839965
U+96F2	雲	838687
U+76E1	盡	838185
U+53F2	史	828845
U+9032	進	817658
U+5149	光	817317
U+6CB3	河	812085
U+53F8	司	811261
U+52A0	加	811169
U+96E3	難	810215
U+6F22	漢	810052
U+6B66	武	799619
U+89E3	解	799061
U+5FD7	志	798076
U+6D41	流	796794
U+8072	聲	781764
U+5EA6	度	777828
U+534A	半	774690
U+65E2	既	770775
U+958B	開	767448
U+5316	化	763480
U+5FB7	德	762241
U+59CB	始	756580
U+529F	功	755385
U+771F	真	754949
U+5B9C	宜	750713
U+6D77	海	750634
U+7570	異	750527
U+4FEE	修	749026
U+6E6F	湯	741174
U+601D	思	739991
U+5C1A	尚	739221
U+5F7C	彼	734834
U+8349	草	730490
U+9EC3	黃	729691
U+53CD	反	724339
U+706B	火	724185
U+7531	由	724126
U+8A9E	語	721547
U+9673	陳	714037
U+773E	眾	712691
U+60DF	惟	712129
U+79CB	秋	710121
U+7A2E	種	709527
U+6559	教	706301
U+5185	内	705841
U+9670	陰	704386
U+723E	爾	700598
U+529B	力	693318
U+751A	甚	691458
U+982D	頭	689877
U+6B62	止	689876
U+82B1	花	688570
U+6613	易	685985
U+53F3	右	682986
U+7109	焉	682939
U+5E9C	府	681811
U+5B88	守	680396
U+90FD	都	679596
U+9AD4	體	678596
U+7F85	羅	678433
U+8001	老	676621
U+8209	舉	676187
U+9999	香	673943
U+4F4D	位	671757
U+4FAF	侯	669633
U+9F8D	龍	668637
U+6C42	求	665780
U+6563	散	663443
U+543E	吾	663144
U+85E5	藥	661496
U+754C	界	660716
U+9152	酒	659286
U+9EC4	黄	658562
U+9042	遂	657813
U+90E8	部	656277
U+83E9	菩	656075
U+6DF1	深	655929
U+5DE6	左	651299
U+8840	血	645217
U+7687	皇	643665
U+7956	祖	641651
U+5F35	張	637545
U+83EF	華	637515
U+6728	木	637386
U+7336	猶	632692
U+51E1	凡	631954
U+667A	智	631251
U+9F4A	齊	627494
U+7BC0	節	627173
U+7A31	稱	622216
U+8A18	記	620534
U+96A8	隨	619060
U+60E1	惡	615735
U+5EE3	廣	612410
U+8033	耳	610217
U+4FE1	信	610056
U+8B58	識	608570
U+5C0A	尊	608026
U+4EC1	仁	607920
U+571F	土	607056
U+7236	父	606704
U+66F4	更	606010
U+97F3	音	605672
U+674E	李	602393
U+53E3	口	602355
U+4F9D	依	601462
U+85A9	薩	600324
U+8208	興	600006
U+4E14	且	599143
U+52DD	勝	596434
U+5973	女	595200
U+8ACB	請	594162
U+5931	失	591608
U+5377	卷	590950
U+65B0	新	589253
U+96E2	離	588550
U+7389	玉	587958
U+5C6C	屬	587717
U+52D5	動	585449
U+50E7	僧	585397
U+9996	首	581563
U+5225	別	580988
U+591C	夜	579216
U+6839	根	577985
U+6797	林	576080
U+5236	制	576009
U+9084	還	575428
U+7D42	終	575322
U+96C6	集	574109
U+76F4	直	573788
U+9752	青	572922
U+7AE0	章	572658
U+8863	衣	572613
U+75DB	痛	565748
U+91CB	釋	565215
U+8457	著	561722
U+8C48	豈	558334
U+5FB3	徳	556204
U+89AA	親	556144
U+6BCD	母	555664
U+672B	末	553433
U+4F46	但	552891
U+590F	夏	549803
U+865B	虛	548772
U+9AD9	髙	547815
U+6BD4	比	547529
U+82E6	苦	547164
U+76CA	益	543337
U+5F15	引	542685
U+7DE3	緣	541245
U+83AB	莫	540169
U+624B	手	539461
U+8B8A	變	538165
U+6975	極	537823
U+6CE8	注	533540
U+5177	具	532205
U+5B8B	宋	530104
U+81F4	致	528089
U+696D	業	527456
U+8CE2	賢	526184
U+5510	唐	525905
U+4EFB	任	525146
U+679C	果	524546
U+5FF5	念	523803
U+60C5	情	521007
U+7368	獨	520844
U+76EE	目	519794
U+4ED6	他	517193
U+5B6B	孫	515401
U+4E7E	乾	514790
U+820A	舊	514358
U+5EFA	建	513591
U+6EFF	滿	512645
U+4FF1	俱	509794
U+597D	好	509715
U+5C0D	對	508975
U+653F	政	508665
U+5411	向	507904
U+5167	內	506257
U+98F2	飲	505806
U+8FD1	近	503777
U+96E8	雨	503016
U+6DE8	淨	501458
U+9AD8	高	501116
U+5F80	往	496649
U+9808	須	496028
U+8DEF	路	493459
U+7530	田	492754
U+76AE	皮	492677
U+7CBE	精	490137
U+6BCF	每	489180
U+5FAE	微	489123
U+50B7	傷	488691
U+5802	堂	485573
U+671B	望	485476
U+6EC5	滅	484774
U+8F49	轉	484237
U+5949	奉	484130
U+7D50	結	480601
U+4F4F	住	478004
U+6649	晉	475996
U+9664	除	475048
U+53E5	句	471825
U+4E58	乘	471291
U+4E38	丸	470933
U+5F62	形	470848
U+90AA	邪	469942
U+53C3	參	469611
U+54C9	哉	466872
U+85CF	藏	466085
U+5FA1	御	464710
U+6301	持	464169
U+65B7	斷	463115
U+90E1	郡	461531
U+7F6E	置	459813
U+4E26	並	459623
U+8B70	議	458975
U+594F	奏	457372
U+89BA	覺	456019
U+5750	坐	454766
U+9748	靈	453998
U+7F6A	罪	451568
U+8A31	許	449648
U+6C5D	汝	449360
U+7518	甘	449088
U+8B49	證	448827
U+8C61	象	448807
U+963F	阿	448696
U+6212	戒	448142
U+539F	原	447308
U+4E45	久	447119
U+8981	要	446406
U+56FA	固	444953
U+5171	共	444829
U+57F7	執	442068
U+8868	表	441341
U+5168	全	437210
U+5C31	就	436331
U+81E8	臨	435440
U+5347	升	434073
U+5473	味	432626
U+903A	逺	432267
U+6307	指	431978
U+8108	脈	431647
U+6BBA	殺	431405
U+5352	卒	429679
U+5F1F	弟	428118
U+5DDD	川	424817
U+990A	養	423186
U+9762	面	421466
U+7532	甲	420339
U+985E	類	420079
U+5617	嘗	416130
U+4E82	亂	415481
U+88DC	補	414164
U+4F3C	似	413314
U+4EAC	京	412663
U+4F2F	伯	412556
U+73FE	現	410432
U+7D30	細	409187
U+7834	破	408072
U+63D0	提	407921
U+8846	衆	407561
U+90CE	郎	407486
U+9806	順	406931
U+9682	隂	406898
U+4F8D	侍	406796
U+5716	圖	406328
U+76DB	盛	406281
U+8449	葉	405217
U+7684	的	404929
U+5BA3	宣	404204
U+8FAD	辭	403778
U+5C01	封	402961
U+6562	敢	401501
U+7E3D	總	401081
U+964D	降	397968
U+9023	連	396452
U+5BAB	宫	396375
U+4EE3	代	395931
U+6309	按	395572
U+5289	劉	395245
U+661F	星	393487
U+9675	陵	393229
U+8ECA	車	392732
U+9858	願	391970
U+8A54	詔	390472
U+6C38	永	389658
U+5BFA	寺	388926
U+8D64	赤	388200
U+8ABF	調	388131
U+4E18	丘	387467
U+559C	喜	386050
U+5BA2	客	384807
U+6539	改	383204
U+3479	㑹	381873
U+4E39	丹	378808
U+6703	會	378583
U+912D	鄭	378278
U+4F0F	伏	377791
U+5831	報	377727
U+4EA4	交	377183
U+91CF	量	376127
U+65BD	施	376030
U+627F	承	375549
U+98DB	飛	375546
U+84CB	蓋	375524
U+798F	福	374447
U+79E6	秦	372750
U+8F15	輕	372311
U+518D	再	372287
U+544A	告	372070
U+5999	妙	372010
U+7591	疑	371257
U+5B54	孔	370983
U+695A	楚	368895
U+537F	卿	366265
U+666F	景	364607
U+611B	愛	364400
U+8CB4	貴	361115
U+5B58	存	361015
U+79AA	禪	360962
U+56B4	嚴	360012
U+552F	唯	358892
U+843D	落	358701
U+8F09	載	358157
U+8A08	計	357311
U+6FDF	濟	355490
U+5230	到	355286
U+986F	顯	354597
U+796D	祭	354558
U+7559	留	354354
U+5B5D	孝	353194
U+6C99	沙	352767
U+80E1	胡	352617
U+5BA4	室	350807
U+7A4D	積	349582
U+5BB9	容	349084
U+826F	良	348196
U+65AF	斯	348173
U+51AC	冬	347619
U+517C	兼	346537
U+656C	敬	346299
U+4EF2	仲	346057
U+5EDF	廟	346037
U+54C1	品	345842
U+5100	儀	345494
U+75BE	疾	344469
U+5E03	布	342444
U+7B54	答	341342
U+540F	吏	341012
U+5BF6	寶	340356
U+8996	視	339581
U+8CE6	賦	339384
U+9000	退	338721
U+793A	示	338317
U+908A	邊	337903
U+8A2D	設	337729
U+9063	遣	336797
U+758F	疏	336492
U+62DC	拜	334348
U+5152	兒	334346
U+6025	急	333656
U+7701	省	333182
U+4EA1	亡	332936
U+7167	照	332928
U+6BD2	毒	332911
U+5883	境	332613
U+6881	梁	332564
U+6A39	樹	332537
U+5409	吉	331748
U+773C	眼	331637
U+865F	號	331093
U+8036	耶	329285
U+9644	附	329161
U+522B	别	326500
U+9001	送	325804
U+8CCA	賊	325802
U+9054	達	325348
U+4E86	了	325112
U+4E01	丁	322893
U+820D	舍	321983
U+9B4F	魏	320872
U+5F92	徒	320428
U+5FE0	忠	320392
U+8CDC	賜	319834
U+5C3A	尺	319392
U+5BE7	寧	318685
U+907A	遺	318454
U+8003	考	318208
U+904B	運	318184
U+5DF1	己	317852
U+59BB	妻	317293
U+5099	備	316575
U+516E	兮	316467
U+67D0	某	316247
U+6CE2	波	315905
U+606F	息	315346
U+6731	朱	315332
U+6388	授	314870
U+611F	感	314166
U+5DEE	差	313892
U+8D99	趙	313757
U+4FD7	俗	312375
U+725B	牛	312182
U+885B	衛	310652
U+5F85	待	310627
U+6B4C	歌	309899
U+5A66	婦	309326
U+4ED9	仙	309058
U+8AA0	誠	308541
U+81FA	臺	308457
U+624D	才	307677
U+8AAC	説	306787
U+5609	嘉	306698
U+8179	腹	305439
U+5E8F	序	304753
U+5433	吳	304634
U+6069	恩	304041
U+9AA8	骨	303763
U+6D6E	浮	302971
U+66F2	曲	301839
U+7279	特	301767
U+7AF9	竹	299879
U+9047	遇	299129
U+540E	后	299107
U+767B	登	298649
U+52DE	勞	298536
U+6BBF	殿	298441
U+714E	煎	298315
U+8089	肉	297267
U+6E56	湖	296013
U+5875	塵	294534
U+6089	悉	294446
U+9006	逆	294409
U+7169	煩	294269
U+6CC9	泉	293259
U+5217	列	292720
U+6614	昔	292646
U+694A	楊	292264
U+5BF8	寸	291648
U+807D	聽	291632
U+4E88	予	290762
U+6050	恐	290759
U+9109	鄉	290044
U+6C57	汗	290008
U+7D04	約	289226
U+6B72	歲	288426
U+6700	最	286961
U+9020	造	285720
U+8077	職	284831
U+523A	刺	284632
U+5713	圓	284628
U+8AB0	誰	284476
U+6108	愈	283251
U+5BDF	察	280958
U+7D00	紀	280709
U+5D57	嵗	280299
U+5E7E	幾	279950
U+7D05	紅	279092
U+984C	題	279046
U+539A	厚	278511
U+89D2	角	278340
U+5BBF	宿	277598
U+756B	畫	276831
U+7D76	絶	275978
U+4FDD	保	275833
U+737B	獻	275743
U+6230	戰	275723
U+9077	遷	275395
U+6469	摩	274913
U+5DE5	工	274072
U+72AF	犯	273837
U+5EB7	康	272839
U+7F8E	美	272631
U+6EAB	溫	272464
U+7AAE	窮	272464
U+8F9B	辛	272394
U+59D3	姓	271900
U+9B5A	魚	271650
U+80C3	胃	270974
U+6167	慧	270828
U+4F59	余	270185
U+9060	遠	269872
U+5A01	威	269593
U+7387	率	269275
U+904A	遊	268810
U+671F	期	268600
U+60F3	想	267613
U+96EA	雪	267572
U+7D20	素	267502
U+91CE	野	267417
U+6536	收	266488
U+6FA4	澤	265724
U+5984	妄	265718
U+5668	器	265403
U+7092	炒	264925
U+9B6F	魯	264191
U+662D	昭	263775
U+9818	領	263598
U+7AEF	端	263565
U+5178	典	263265
U+8B80	讀	262732
U+6D88	消	260933
U+53EA	只	259726
U+90A3	那	258370
U+8D8A	越	258299
U+514B	克	257851
U+5BB3	害	257578
U+88AB	被	257439
U+6182	憂	256212
U+95DC	關	255675
U+525B	剛	254634
U+63A8	推	254220
U+7D2B	紫	253839
U+7533	申	253257
U+8607	蘇	252675
U+5F8B	律	252574
U+60A3	患	251789
U+547C	呼	251761
U+8B1D	謝	251667
U+6176	慶	250951
U+5EF6	延	250697
U+5410	吐	249710
U+5922	夢	249243
U+52E2	勢	248707
U+6A5F	機	248342
U+7537	男	247436
U+5937	夷	246947
U+71DF	營	246777
U+5DF3	巳	246492
U+7FD2	習	246443
U+6EAA	溪	245520
U+4F10	伐	245473
U+5F90	徐	245470
U+9280	銀	244584
U+5FFD	忽	244250
U+812B	脫	244019
U+651D	攝	243101
U+76E3	監	242480
U+9867	顧	242409
U+4ECD	仍	242190
U+9A5A	驚	241062
U+9EBB	麻	240290
U+514D	免	240193
U+7BA1	管	239704
U+70CF	烏	239494
U+6B0A	權	239297
U+5C0B	尋	238980
U+660C	昌	238615
U+5B5F	孟	238542
U+719F	熟	238111
U+7BC7	篇	238111
U+6842	桂	237756
U+9662	院	237325
U+7ADF	竟	237184
U+9091	邑	236713
U+64DA	據	236463
U+53EC	召	236461
U+770B	看	235144
U+9732	露	235051
U+6B8A	殊	235020
U+675C	杜	234730
U+7FA3	羣	234275
U+864E	虎	233904
U+679D	枝	233714
U+7C73	米	233341
U+6557	敗	233017
U+8FB0	辰	232435
U+6F38	漸	232361
U+7940	祀	232308
U+5EE2	廢	231673
U+51B7	冷	231406
U+5211	刑	230794
U+96DC	雜	230486
U+653E	放	230289
U+805A	聚	230211
U+93AE	鎮	228687
U+5E78	幸	228496
U+813E	脾	228451
