namespace	entity	count
kr	&KR1098;	23039
kr	&KR0008;	18332
kr	&KR0034;	7234
kr	&KR0146;	2088
kr	&KR0238;	1423
kr	&KR0306;	1157
kr	&KR0309;	1142
kr	&KR0320;	1120
kr	&KR0070;	988
kr	&KR0263;	968
kr	&KR0067;	883
kr	&KR0377;	841
kr	&KR0006;	792
kr	&KR0103;	759
kr	&KR0013;	743
kr	&KR0066;	731
kr	&KR0671;	670
kr	&KR0615;	556
kr	&KR0003;	553
kr	&KR2692;	547
kr	&KR0002;	534
kr	&KR0107;	511
kr	&KR0558;	510
kr	&KR2910;	504
kr	&KR0550;	501
kr	&KR0088;	490
kr	&KR0548;	488
kr	&KR0704;	487
kr	&KR0566;	479
kr	&KR0708;	474
kr	&KR0561;	471
kr	&KR0554;	471
kr	&KR0552;	470
kr	&KR0596;	469
kr	&KR0584;	462
kr	&KR2360;	455
kr	&KR2395;	450
kr	&KR0556;	448
kr	&KR0052;	444
kr	&KR0570;	437
kr	&KR0621;	436
kr	&KR0642;	435
kr	&KR0574;	434
kr	&KR0576;	433
kr	&KR0235;	432
kr	&KR0617;	430
kr	&KR0149;	427
kr	&KR0593;	421
kr	&KR0069;	421
kr	&KR0591;	420
kr	&KR0648;	415
kr	&KR0118;	414
kr	&KR0605;	412
kr	&KR0630;	411
kr	&KR0588;	407
kr	&KR0616;	407
kr	&KR0581;	405
kr	&KR0624;	401
kr	&KR0608;	400
kr	&KR0679;	398
kr	&KR0659;	393
kr	&KR0579;	392
kr	&KR0348;	390
kr	&KR0627;	383
kr	&KR0100;	383
kr	&KR0628;	377
kr	&KR0636;	377
kr	&KR0609;	370
kr	&KR0043;	369
kr	&KR0595;	368
kr	&KR0585;	367
kr	&KR0645;	367
kr	&KR0655;	366
kr	&KR0629;	365
kr	&KR0105;	365
kr	&KR0031;	365
kr	&KR0668;	362
kr	&KR0647;	361
kr	&KR0189;	360
kr	&KR0640;	359
kr	&KR0667;	359
kr	&KR0658;	358
kr	&KR0796;	357
kr	&KR0632;	355
kr	&KR0058;	355
kr	&KR0564;	354
kr	&KR0038;	353
kr	&KR0706;	350
kr	&KR0097;	350
kr	&KR0678;	349
kr	&KR0670;	345
kr	&KR0696;	345
kr	&KR0676;	342
kr	&KR0662;	341
kr	&KR0674;	339
kr	&KR0693;	339
kr	&KR1136;	337
kr	&KR0694;	333
kr	&KR0673;	332
kr	&KR0666;	331
kr	&KR0695;	331
kr	&KR0697;	331
kr	&KR0657;	329
kr	&KR0126;	326
kr	&KR0690;	324
kr	&KR0735;	324
kr	&KR0079;	324
kr	&KR0194;	324
kr	&KR0686;	323
kr	&KR0687;	322
kr	&KR0074;	321
kr	&KR0191;	320
kr	&KR0281;	320
kr	&KR0094;	319
kr	&KR0722;	318
kr	&KR0075;	318
kr	&KR0714;	315
kr	&KR0158;	312
kr	&KR0068;	311
kr	&KR0719;	310
kr	&KR0795;	310
kr	&KR0875;	310
kr	&KR0844;	310
kr	&KR0738;	309
kr	&KR0702;	309
kr	&KR0251;	309
kr	&KR0736;	308
kr	&KR0689;	303
kr	&KR0688;	302
kr	&KR0685;	301
kr	&KR0092;	300
kr	&KR0691;	298
kr	&KR0681;	297
kr	&KR0224;	295
kr	&KR0749;	294
kr	&KR0112;	294
kr	&KR0740;	293
kr	&KR0935;	290
kr	&KR0726;	289
kr	&KR0297;	287
kr	&KR0729;	283
kr	&KR0707;	280
kr	&KR0803;	280
kr	&KR0797;	279
kr	&KR0699;	278
kr	&KR0710;	278
kr	&KR0712;	273
kr	&KR0765;	272
kr	&KR0782;	272
kr	&KR0742;	271
kr	&KR0724;	269
kr	&KR2647;	269
kr	&KR0770;	267
kr	&KR0764;	266
kr	&KR0680;	263
kr	&KR0763;	263
kr	&KR0776;	260
kr	&KR0751;	260
kr	&KR0860;	259
kr	&KR0793;	258
kr	&KR0759;	258
kr	&KR0183;	256
kr	&KR0282;	256
kr	&KR0871;	255
kr	&KR0755;	255
kr	&KR0757;	254
kr	&KR0750;	254
kr	&KR0789;	253
kr	&KR0854;	253
kr	&KR0739;	253
kr	&KR0109;	253
kr	&KR0857;	253
kr	&KR0675;	252
kr	&KR0072;	252
kr	&KR0080;	252
kr	&KR0778;	251
kr	&KR0914;	251
kr	&KR0779;	251
kr	&KR0766;	251
kr	&KR0845;	251
kr	&KR0786;	250
kr	&KR0794;	249
kr	&KR0982;	249
kr	&KR0785;	247
kr	&KR0181;	247
kr	&KR0792;	246
kr	&KR0862;	246
kr	&KR0813;	245
kr	&KR0777;	244
kr	&KR0856;	243
kr	&KR0812;	242
kr	&KR0198;	242
kr	&KR0802;	241
kr	&KR3511;	239
kr	&KR0790;	238
kr	&KR0827;	238
kr	&KR0830;	238
kr	&KR2792;	237
kr	&KR5360;	237
kr	&KR1000;	236
kr	&KR0093;	236
kr	&KR0887;	235
kr	&KR0851;	235
kr	&KR0825;	233
kr	&KR0804;	232
kr	&KR0772;	232
kr	&KR0505;	232
kr	&KR0161;	231
kr	&KR0832;	230
kr	&KR0839;	230
kr	&KR0838;	230
kr	&KR0816;	229
kr	&KR0280;	229
kr	&KR0758;	228
kr	&KR0787;	228
kr	&KR0833;	228
kr	&KR0848;	227
kr	&KR0743;	227
kr	&KR0809;	226
kr	&KR0784;	226
kr	&KR0303;	226
kr	&KR0769;	224
kr	&KR0293;	224
kr	&KR0266;	224
kr	&KR1586;	224
kr	&KR2909;	224
kr	&KR0783;	223
kr	&KR0863;	222
kr	&KR0836;	220
kr	&KR0841;	220
kr	&KR0219;	220
kr	&KR0908;	219
kr	&KR0799;	218
kr	&KR0801;	218
kr	&KR0811;	218
kr	&KR0819;	217
kr	&KR0715;	217
kr	&KR0889;	216
kr	&KR0885;	216
kr	&KR0917;	215
kr	&KR0808;	215
kr	&KR0849;	215
kr	&KR0878;	215
kr	&KR0873;	215
kr	&KR0859;	214
kr	&KR0992;	214
kr	&KR0026;	214
kr	&KR0901;	213
kr	&KR0165;	213
kr	&KR0867;	212
kr	&KR0837;	212
kr	&KR0864;	211
kr	&KR0110;	211
kr	&KR0279;	209
kr	&KR0850;	208
kr	&KR0869;	208
kr	&KR0818;	207
kr	&KR0941;	207
kr	&KR1234;	207
kr	&KR0852;	206
kr	&KR0807;	206
kr	&KR3307;	206
kr	&KR0829;	205
kr	&KR0861;	205
kr	&KR1528;	205
kr	&KR1664;	205
kr	&KR0977;	204
kr	&KR0974;	204
kr	&KR0891;	203
kr	&KR0888;	203
kr	&KR0882;	201
kr	&KR0938;	201
kr	&KR0899;	201
kr	&KR0916;	201
kr	&KR0954;	201
kr	&KR0870;	200
kr	&KR0308;	200
kr	&KR0868;	199
kr	&KR0927;	199
kr	&KR0178;	199
kr	&KR0874;	198
kr	&KR0897;	198
kr	&KR0865;	198
kr	&KR0925;	197
kr	&KR0881;	196
kr	&KR0289;	196
kr	&KR0907;	195
kr	&KR1044;	195
kr	&KR0847;	195
kr	&KR0328;	195
kr	&KR0877;	194
kr	&KR0909;	194
kr	&KR0363;	194
kr	&KR0876;	193
kr	&KR0922;	193
kr	&KR0890;	193
kr	&KR0810;	193
kr	&KR0975;	192
kr	&KR0136;	191
kr	&KR0894;	190
kr	&KR1029;	190
kr	&KR0973;	190
kr	&KR0915;	189
kr	&KR0866;	188
kr	&KR0919;	188
kr	&KR0942;	188
kr	&KR0902;	187
kr	&KR1247;	187
kr	&KR0214;	187
kr	&KR0022;	186
kr	&KR0312;	186
kr	&KR0879;	185
kr	&KR0788;	185
kr	&KR1191;	185
kr	&KR0037;	185
kr	&KR1004;	185
kr	&KR0929;	184
kr	&KR0968;	184
kr	&KR0253;	184
kr	&KR0945;	183
kr	&KR0957;	183
kr	&KR1315;	183
kr	&KR0886;	183
kr	&KR0062;	183
kr	&KR0946;	182
kr	&KR0911;	181
kr	&KR0933;	180
kr	&KR3406;	180
kr	&KR0949;	179
kr	&KR1075;	179
kr	&KR0222;	179
kr	&KR0233;	179
kr	&KR3033;	179
kr	&KR1281;	178
kr	&KR1015;	178
kr	&KR0978;	177
kr	&KR0327;	177
