var_cp	var_char	reg_cp	reg_char	remarks	var_count	reg_count	reg_breakdown	reg_share
U+248E5	𤣥	U+7384	玄
U+3479	㑹	U+6703	會
U+3AD6	㫖	U+65E8	旨
U+40DA	䃚	U+93C3	鏃
U+2092A	𠤪	U+4E00	一
U+201A4	𠆤	U+4E01	丁
U+67D2	柒	U+4E03,U+6F06	七漆	basic
U+5F0E	弎	U+4E09	三	basic
U+53C3	參	U+4E09	三	basic
U+53C1	叁	U+4E09,U+53C3	三參	basic
U+53C4	叄	U+4E09,U+53C3	三參	basic
U+4E05	丅	U+4E0B	下	basic
U+2000B	𠀋	U+4E08	丈
U+652F	支	U+4E08	丈	basic
U+4E04	丄	U+4E0A	上	basic
U+4E8C	二	U+4E0A	上	basic
U+200E0	𠃠	U+4E11	丑
U+4E12	丒	U+4E11	丑	basic
U+208E3	𠣣	U+4E10	丐
U+208CF	𠣏	U+4E10	丐
U+2001A	𠀚	U+4E0D	不
U+20650	𠙐	U+4E0D	不
U+342C	㐬	U+4E0D,U+8352,U+5DDF,U+65D2,U+20AD3	不荒巟旒𠫓	common-to-rare
U+4E17	丗	U+4E16	世	basic
U+534B	卋	U+4E16	世	basic
U+353A	㔺	U+4E16	世
U+20994	𠦔	U+4E16	世
U+353B	㔻	U+4E15	丕
U+20993	𠦓	U+4E15,U+672C	丕本
U+3DA8	㶨	U+4E15	丕
U+20003	𠀃	U+4E14,U+51E0	且几
U+20007	𠀇	U+4E14	且
U+23142	𣅂	U+4E14,U+65E6	且旦
U+20008	𠀈	U+4E18	丘
U+4E20	丠	U+4E18	丘	basic
U+20922	𠤢	U+4E18,U+5775	丘坵
U+3633	㘳	U+4E18	丘
U+212A3	𡊣	U+4E18	丘
U+24918	𤤘	U+4E18	丘
U+20009	𠀉	U+4E18	丘
U+37BC	㞼	U+4E1E	丞
U+4E22	丢	U+4E1F	丟	basic
U+2160B	𡘋	U+4E26	並
U+50A1	傡	U+4E26	並	basic
U+4E9E	亞	U+4E2B,U+690F	丫椏	basic
U+20066	𠁦	U+4E2D	中
U+20067	𠁧	U+4E2D	中
U+20069	𠁩	U+4E2D	中
U+20517	𠔗	U+4E2D	中
U+20508	𠔈	U+4E2D	中
U+2F801	丸	U+4E38	丸
U+2007D	𠁽	U+4E38	丸
U+2007F	𠁿	U+4E39	丹
U+20551	𠕑	U+4E39	丹
U+38CB	㣋	U+4E39	丹
U+22488	𢒈	U+4E39,U+5F62	丹形
U+20115	𠄕	U+4E43	乃
U+2069D	𠚝	U+4E43	乃
U+209E4	𠧤	U+4E43	乃
U+223A7	𢎧	U+4E43	乃
U+223E9	𢏩	U+4E43	乃
U+5F13	弓	U+4E43	乃	basic
U+2010E	𠄎	U+4E43	乃
U+9579	镹	U+4E45	久	basic
U+37A2	㞢	U+4E4B	之
U+21CFF	𡳿	U+4E4B	之
U+20507	𠔇	U+4E4B	之
U+22068	𢁨	U+5C39	尹
U+220AB	𢂫	U+5C39	尹
U+2209F	𢂟	U+5C39	尹
U+220AC	𢂬	U+5C39	尹
U+220C2	𢃂	U+5C39	尹
U+220C1	𢃁	U+5C39	尹
U+220F9	𢃹	U+5C39	尹
U+220F5	𢃵	U+5C39	尹
U+201A6	𠆦	U+4E4D	乍
U+2009C	𠂜	U+4E4F	乏
U+204DF	𠓟	U+4E4F	乏
U+23944	𣥄	U+4E4F	乏
U+2009E	𠂞	U+4E4E	乎
U+200A0	𠂠	U+4E4E,U+91C6	乎釆
U+200AF	𠂯	U+4E56	乖
U+26B45	𦭅	U+4E56	乖
U+26B83	𦮃	U+4E56	乖
U+20070	𠁰	U+4E56	乖
U+209AC	𠦬	U+4E56,U+5782	乖垂
U+2015E	𠅞	U+4E58	乘
U+2015F	𠅟	U+4E58	乘
U+204F8	𠓸	U+4E58	乘
U+20A07	𠨇	U+4E58	乘
U+23515	𣔕	U+4E58	乘
U+28324	𨌤	U+4E58	乘
U+28371	𨍱	U+4E58	乘
U+204FD	𠓽	U+4E58	乘
U+200CA	𠃊	U+4E59	乙
U+2232C	𢌬	U+4E5D	九
U+23C84	𣲄	U+4E5D,U+6C3F	九氿
U+7396	玖	U+4E5D	九	basic
U+20504	𠔄	U+4E5F	也
U+26AF4	𦫴	U+4E5F	也
U+26B00	𦬀	U+4E5F	也
U+200DF	𠃟	U+4E5F,U+531C	也匜
U+2008F	𠂏	U+4E73,U+5976	乳奶
U+26718	𦜘	U+4E73	乳
U+211F2	𡇲	U+4E73,U+5B2D	乳嬭
U+20104	𠄄	U+4E7E	乾
U+2010A	𠄊	U+4E7E	乾
U+2010B	𠄋	U+4E7E	乾
U+28EA9	𨺩	U+4E7E	乾
U+23996	𣦖	U+4E7E	乾
U+6F27	漧	U+4E7E	乾	basic
U+209CE	𠧎	U+4E82,U+470C	亂䜌
U+209CF	𠧏	U+4E82,U+470C	亂䜌
U+20B97	𠮗	U+4E82,U+470C	亂䜌
U+22BA3	𢮣	U+4E82	亂
U+24526	𤔦	U+4E82,U+24514	亂𤔔
U+2454D	𤕍	U+4E82,U+470C	亂䜌
U+91E0	釠	U+4E82	亂	basic
U+4E68	乨	U+4E82,U+59CB	亂始	basic
U+200F6	𠃶	U+4E82	亂
U+24514	𤔔	U+4E82	亂
U+24545	𤕅	U+4E82	亂
U+20071	𠁱	U+4E8B	事
U+53D3	叓	U+4E8B,U+540F	事吏	basic
U+20B4F	𠭏	U+4E8B	事
U+24507	𤔇	U+4E8B	事
U+20AFA	𠫺	U+4E8B,U+5E74	事年
U+22390	𢎐	U+4E8C,U+8CB3	二貳
U+3E26	㸦	U+4E92,U+7259	互牙
U+20121	𠄡	U+4E94	五
U+4E42	乂	U+4E94,U+7FA9	五義	basic
U+4F0D	伍	U+4E94	五	basic
U+4E98	亘	U+4E99,U+6853	亙桓	basic
U+20123	𠄣	U+4E99	亙
U+3B93	㮓	U+4E99	亙
U+23630	𣘰	U+4E99	亙
U+3C54	㱔	U+4E9B	些
U+21B5F	𡭟	U+4E9B	些
U+5470	呰	U+4E9B	些	basic
U+4E9C	亜	U+4E9E	亞	basic
U+2012E	𠄮	U+4E9E	亞
U+4FF9	俹	U+4E9E	亞	basic
U+489D	䢝	U+4E9E	亞
U+20139	𠄹	U+4E9F	亟
U+20BC9	𠯉	U+4E9F	亟
U+710F	焏	U+4E9F	亟	basic
U+26BC3	𦯃	U+4E9F,U+830D	亟茍
U+26C69	𦱩	U+4E9F	亟
U+44E7	䓧	U+4E9F	亟
U+3B35	㬵	U+4EA4,U+768E,U+81A0,U+80F6	交皎膠胶
U+20143	𠅃	U+4EA6,U+8863	亦衣
U+2158B	𡖋	U+4EA6	亦
U+215D5	𡗕	U+4EA6	亦
U+25A56	𥩖	U+4EA6	亦
U+20005	𠀅	U+4EA5	亥
U+20987	𠦇	U+4EA5	亥
U+22053	𢁓	U+4EA5,U+8C55	亥豕
U+22073	𢁳	U+4EA5	亥
U+27C27	𧰧	U+4EA5,U+8C55	亥豕
U+20156	𠅖	U+4EA8,U+4EAB,U+70F9	亨享烹
U+20160	𠅠	U+4EAB,U+70F9	享烹
U+2657A	𦕺	U+4EAB,U+9AD8	享高
