variant_type	side	cp_hex	char	count	name
kSemanticVariant	source	U+4EE5	以	9576911	CJK UNIFIED IDEOGRAPH-4EE5
kSemanticVariant	source	U+4EBA	人	7170214	CJK UNIFIED IDEOGRAPH-4EBA
kSemanticVariant	source	U+70BA	為	7094922	CJK UNIFIED IDEOGRAPH-70BA
kSemanticVariant	source	U+4E00	一	6961417	CJK UNIFIED IDEOGRAPH-4E00
kSemanticVariant	source	U+7121	無	5290315	CJK UNIFIED IDEOGRAPH-7121
kSemanticVariant	source	U+65BC	於	4724818	CJK UNIFIED IDEOGRAPH-65BC
kSemanticVariant	source	U+5B50	子	4600297	CJK UNIFIED IDEOGRAPH-5B50
kSemanticVariant	source	U+4E8C	二	4463849	CJK UNIFIED IDEOGRAPH-4E8C
kSemanticVariant	source	U+4E09	三	4351515	CJK UNIFIED IDEOGRAPH-4E09
kSemanticVariant	source	U+5929	天	3283065	CJK UNIFIED IDEOGRAPH-5929
kSemanticVariant	source	U+8A00	言	2861793	CJK UNIFIED IDEOGRAPH-8A00
kSemanticVariant	source	U+56DB	四	2785227	CJK UNIFIED IDEOGRAPH-56DB
kSemanticVariant	source	U+4E94	五	2669735	CJK UNIFIED IDEOGRAPH-4E94
kSemanticVariant	source	U+6642	時	2589746	CJK UNIFIED IDEOGRAPH-6642
kSemanticVariant	source	U+4E8B	事	2583650	CJK UNIFIED IDEOGRAPH-4E8B
kSemanticVariant	source	U+8207	與	2318259	CJK UNIFIED IDEOGRAPH-8207
kSemanticVariant	source	U+5FC3	心	2242330	CJK UNIFIED IDEOGRAPH-5FC3
kSemanticVariant	source	U+660E	明	2207615	CJK UNIFIED IDEOGRAPH-660E
kSemanticVariant	source	U+4F5C	作	2021933	CJK UNIFIED IDEOGRAPH-4F5C
kSemanticVariant	source	U+51FA	出	1870646	CJK UNIFIED IDEOGRAPH-51FA
kSemanticVariant	source	U+6C34	水	1710420	CJK UNIFIED IDEOGRAPH-6C34
kSemanticVariant	source	U+4F86	來	1664960	CJK UNIFIED IDEOGRAPH-4F86
kSemanticVariant	source	U+5373	即	1626631	CJK UNIFIED IDEOGRAPH-5373
kSemanticVariant	source	U+767E	百	1593237	CJK UNIFIED IDEOGRAPH-767E
kSemanticVariant	source	U+570B	國	1577122	CJK UNIFIED IDEOGRAPH-570B
kSemanticVariant	source	U+540C	同	1573689	CJK UNIFIED IDEOGRAPH-540C
kSemanticVariant	source	U+6771	東	1531119	CJK UNIFIED IDEOGRAPH-6771
kSemanticVariant	source	U+4F7F	使	1488455	CJK UNIFIED IDEOGRAPH-4F7F
kSemanticVariant	source	U+7D93	經	1471083	CJK UNIFIED IDEOGRAPH-7D93
kSemanticVariant	source	U+4E8E	于	1466342	CJK UNIFIED IDEOGRAPH-4E8E
kSemanticVariant	source	U+897F	西	1436511	CJK UNIFIED IDEOGRAPH-897F
kSemanticVariant	source	U+4E43	乃	1356979	CJK UNIFIED IDEOGRAPH-4E43
kSemanticVariant	source	U+9580	門	1329136	CJK UNIFIED IDEOGRAPH-9580
kSemanticVariant	source	U+5F9E	從	1321982	CJK UNIFIED IDEOGRAPH-5F9E
kSemanticVariant	source	U+7FA9	義	1303266	CJK UNIFIED IDEOGRAPH-7FA9
kSemanticVariant	source	U+4E5D	九	1288829	CJK UNIFIED IDEOGRAPH-4E5D
kSemanticVariant	source	U+516B	八	1284970	CJK UNIFIED IDEOGRAPH-516B
kSemanticVariant	source	U+967D	陽	1268786	CJK UNIFIED IDEOGRAPH-967D
kSemanticVariant	source	U+4E03	七	1256404	CJK UNIFIED IDEOGRAPH-4E03
kSemanticVariant	source	U+79AE	禮	1203292	CJK UNIFIED IDEOGRAPH-79AE
kSemanticVariant	source	U+842C	萬	1184270	CJK UNIFIED IDEOGRAPH-842C
kSemanticVariant	source	U+8655	處	1176071	CJK UNIFIED IDEOGRAPH-8655
kSemanticVariant	source	U+6B32	欲	1164006	CJK UNIFIED IDEOGRAPH-6B32
kSemanticVariant	source	U+5C07	將	1148111	CJK UNIFIED IDEOGRAPH-5C07
kSemanticVariant	source	U+5B78	學	1105191	CJK UNIFIED IDEOGRAPH-5B78
kSemanticVariant	source	U+5343	千	1045302	CJK UNIFIED IDEOGRAPH-5343
kSemanticVariant	source	U+91D1	金	1042446	CJK UNIFIED IDEOGRAPH-91D1
kSemanticVariant	source	U+6B78	歸	969163	CJK UNIFIED IDEOGRAPH-6B78
kSemanticVariant	source	U+7232	爲	955109	CJK UNIFIED IDEOGRAPH-7232
kSemanticVariant	source	U+671D	朝	950233	CJK UNIFIED IDEOGRAPH-671D
kSemanticVariant	source	U+5BE6	實	941471	CJK UNIFIED IDEOGRAPH-5BE6
kSemanticVariant	source	U+77F3	石	938323	CJK UNIFIED IDEOGRAPH-77F3
kSemanticVariant	source	U+5C45	居	926286	CJK UNIFIED IDEOGRAPH-5C45
kSemanticVariant	source	U+89C0	觀	920609	CJK UNIFIED IDEOGRAPH-89C0
kSemanticVariant	source	U+5169	兩	902594	CJK UNIFIED IDEOGRAPH-5169
kSemanticVariant	source	U+8056	聖	898525	CJK UNIFIED IDEOGRAPH-8056
kSemanticVariant	source	U+904E	過	878285	CJK UNIFIED IDEOGRAPH-904E
kSemanticVariant	source	U+5468	周	874820	CJK UNIFIED IDEOGRAPH-5468
kSemanticVariant	source	U+6C23	氣	872021	CJK UNIFIED IDEOGRAPH-6C23
kSemanticVariant	source	U+548C	和	828497	CJK UNIFIED IDEOGRAPH-548C
kSemanticVariant	source	U+8072	聲	816056	CJK UNIFIED IDEOGRAPH-8072
kSemanticVariant	source	U+98DF	食	815149	CJK UNIFIED IDEOGRAPH-98DF
kSemanticVariant	source	U+76E1	盡	781816	CJK UNIFIED IDEOGRAPH-76E1
kSemanticVariant	source	U+96E3	難	724295	CJK UNIFIED IDEOGRAPH-96E3
kSemanticVariant	source	U+79CB	秋	718145	CJK UNIFIED IDEOGRAPH-79CB
kSemanticVariant	source	U+723E	爾	714860	CJK UNIFIED IDEOGRAPH-723E
kSemanticVariant	source	U+5229	利	695363	CJK UNIFIED IDEOGRAPH-5229
kSemanticVariant	source	U+8209	舉	678039	CJK UNIFIED IDEOGRAPH-8209
kSemanticVariant	source	U+5FB7	德	669835	CJK UNIFIED IDEOGRAPH-5FB7
kSemanticVariant	source	U+89E3	解	663252	CJK UNIFIED IDEOGRAPH-89E3
kSemanticVariant	source	U+771F	真	660424	CJK UNIFIED IDEOGRAPH-771F
kSemanticVariant	source	U+9F4A	齊	656786	CJK UNIFIED IDEOGRAPH-9F4A
kSemanticVariant	source	U+9AD9	髙	653464	CJK UNIFIED IDEOGRAPH-9AD9
kSemanticVariant	source	U+6559	教	645590	CJK UNIFIED IDEOGRAPH-6559
kSemanticVariant	source	U+7F85	羅	640209	CJK UNIFIED IDEOGRAPH-7F85
kSemanticVariant	source	U+9F8D	龍	637133	CJK UNIFIED IDEOGRAPH-9F8D
kSemanticVariant	source	U+6DF1	深	635850	CJK UNIFIED IDEOGRAPH-6DF1
kSemanticVariant	source	U+96C6	集	629787	CJK UNIFIED IDEOGRAPH-96C6
kSemanticVariant	source	U+7336	猶	626085	CJK UNIFIED IDEOGRAPH-7336
kSemanticVariant	source	U+773E	眾	620676	CJK UNIFIED IDEOGRAPH-773E
kSemanticVariant	source	U+7A31	稱	616497	CJK UNIFIED IDEOGRAPH-7A31
kSemanticVariant	source	U+9AD4	體	612893	CJK UNIFIED IDEOGRAPH-9AD4
kSemanticVariant	source	U+8208	興	609624	CJK UNIFIED IDEOGRAPH-8208
kSemanticVariant	source	U+82B1	花	607473	CJK UNIFIED IDEOGRAPH-82B1
kSemanticVariant	source	U+51E1	凡	563127	CJK UNIFIED IDEOGRAPH-51E1
kSemanticVariant	source	U+9084	還	559408	CJK UNIFIED IDEOGRAPH-9084
kSemanticVariant	source	U+8863	衣	554052	CJK UNIFIED IDEOGRAPH-8863
kSemanticVariant	source	U+5B9C	宜	540473	CJK UNIFIED IDEOGRAPH-5B9C
kSemanticVariant	source	U+66F4	更	539465	CJK UNIFIED IDEOGRAPH-66F4
kSemanticVariant	source	U+8457	著	528786	CJK UNIFIED IDEOGRAPH-8457
kSemanticVariant	source	U+8CE2	賢	528178	CJK UNIFIED IDEOGRAPH-8CE2
kSemanticVariant	source	U+820A	舊	521725	CJK UNIFIED IDEOGRAPH-820A
kSemanticVariant	source	U+5C6C	屬	520662	CJK UNIFIED IDEOGRAPH-5C6C
kSemanticVariant	source	U+4EFB	任	519079	CJK UNIFIED IDEOGRAPH-4EFB
kSemanticVariant	source	U+6649	晉	512157	CJK UNIFIED IDEOGRAPH-6649
kSemanticVariant	source	U+6DE8	淨	507311	CJK UNIFIED IDEOGRAPH-6DE8
kSemanticVariant	source	U+8349	草	502465	CJK UNIFIED IDEOGRAPH-8349
kSemanticVariant	source	U+8B8A	變	492990	CJK UNIFIED IDEOGRAPH-8B8A
kSemanticVariant	source	U+7368	獨	491402	CJK UNIFIED IDEOGRAPH-7368
kSemanticVariant	source	U+671B	望	485338	CJK UNIFIED IDEOGRAPH-671B
kSemanticVariant	source	U+679C	果	479835	CJK UNIFIED IDEOGRAPH-679C
kSemanticVariant	source	U+9682	隂	479724	CJK UNIFIED IDEOGRAPH-9682
kSemanticVariant	source	U+5C0D	對	475008	CJK UNIFIED IDEOGRAPH-5C0D
kSemanticVariant	source	U+5FA1	御	471800	CJK UNIFIED IDEOGRAPH-5FA1
kSemanticVariant	source	U+706B	火	470463	CJK UNIFIED IDEOGRAPH-706B
kSemanticVariant	source	U+7DE3	緣	469033	CJK UNIFIED IDEOGRAPH-7DE3
kSemanticVariant	source	U+76CA	益	467418	CJK UNIFIED IDEOGRAPH-76CA
kSemanticVariant	source	U+7F6E	置	459496	CJK UNIFIED IDEOGRAPH-7F6E
kSemanticVariant	source	U+5F80	往	458238	CJK UNIFIED IDEOGRAPH-5F80
kSemanticVariant	source	U+8846	衆	457382	CJK UNIFIED IDEOGRAPH-8846
kSemanticVariant	source	U+4ED6	他	456944	CJK UNIFIED IDEOGRAPH-4ED6
kSemanticVariant	source	U+6EC5	滅	451624	CJK UNIFIED IDEOGRAPH-6EC5
kSemanticVariant	source	U+9322	錢	447460	CJK UNIFIED IDEOGRAPH-9322
kSemanticVariant	source	U+7F6A	罪	443302	CJK UNIFIED IDEOGRAPH-7F6A
kSemanticVariant	source	U+5289	劉	437596	CJK UNIFIED IDEOGRAPH-5289
kSemanticVariant	source	U+57F7	執	435061	CJK UNIFIED IDEOGRAPH-57F7
kSemanticVariant	source	U+65B7	斷	434630	CJK UNIFIED IDEOGRAPH-65B7
kSemanticVariant	source	U+5352	卒	429353	CJK UNIFIED IDEOGRAPH-5352
kSemanticVariant	source	U+9748	靈	427631	CJK UNIFIED IDEOGRAPH-9748
kSemanticVariant	source	U+8FAD	辭	424689	CJK UNIFIED IDEOGRAPH-8FAD
kSemanticVariant	source	U+9808	須	420377	CJK UNIFIED IDEOGRAPH-9808
kSemanticVariant	source	U+6BBA	殺	419620	CJK UNIFIED IDEOGRAPH-6BBA
kSemanticVariant	source	U+624B	手	419222	CJK UNIFIED IDEOGRAPH-624B
kSemanticVariant	source	U+5617	嘗	418061	CJK UNIFIED IDEOGRAPH-5617
kSemanticVariant	source	U+539F	原	414037	CJK UNIFIED IDEOGRAPH-539F
kSemanticVariant	source	U+89BA	覺	410775	CJK UNIFIED IDEOGRAPH-89BA
kSemanticVariant	source	U+5716	圖	410571	CJK UNIFIED IDEOGRAPH-5716
kSemanticVariant	source	U+97FB	韻	410385	CJK UNIFIED IDEOGRAPH-97FB
kSemanticVariant	source	U+9675	陵	409524	CJK UNIFIED IDEOGRAPH-9675
kSemanticVariant	source	U+5168	全	401208	CJK UNIFIED IDEOGRAPH-5168
kSemanticVariant	source	U+9AD8	高	396650	CJK UNIFIED IDEOGRAPH-9AD8
kSemanticVariant	source	U+4E26	並	381390	CJK UNIFIED IDEOGRAPH-4E26
kSemanticVariant	source	U+4E82	亂	381268	CJK UNIFIED IDEOGRAPH-4E82
kSemanticVariant	source	U+9858	願	379039	CJK UNIFIED IDEOGRAPH-9858
kSemanticVariant	source	U+7E3D	總	378012	CJK UNIFIED IDEOGRAPH-7E3D
kSemanticVariant	source	U+4E7E	乾	375465	CJK UNIFIED IDEOGRAPH-4E7E
kSemanticVariant	source	U+544A	告	374506	CJK UNIFIED IDEOGRAPH-544A
kSemanticVariant	source	U+5831	報	369385	CJK UNIFIED IDEOGRAPH-5831
kSemanticVariant	source	U+5EDF	廟	363489	CJK UNIFIED IDEOGRAPH-5EDF
kSemanticVariant	source	U+964D	降	363154	CJK UNIFIED IDEOGRAPH-964D
kSemanticVariant	source	U+559C	喜	362211	CJK UNIFIED IDEOGRAPH-559C
kSemanticVariant	source	U+985E	類	359014	CJK UNIFIED IDEOGRAPH-985E
kSemanticVariant	source	U+6881	梁	358210	CJK UNIFIED IDEOGRAPH-6881
kSemanticVariant	source	U+5DDD	川	353878	CJK UNIFIED IDEOGRAPH-5DDD
kSemanticVariant	source	U+4E18	丘	350940	CJK UNIFIED IDEOGRAPH-4E18
kSemanticVariant	source	U+9B4F	魏	342671	CJK UNIFIED IDEOGRAPH-9B4F
kSemanticVariant	source	U+986F	顯	340987	CJK UNIFIED IDEOGRAPH-986F
kSemanticVariant	source	U+758F	疏	339390	CJK UNIFIED IDEOGRAPH-758F
kSemanticVariant	source	U+5999	妙	334471	CJK UNIFIED IDEOGRAPH-5999
kSemanticVariant	source	U+865F	號	331729	CJK UNIFIED IDEOGRAPH-865F
kSemanticVariant	source	U+793A	示	329333	CJK UNIFIED IDEOGRAPH-793A
kSemanticVariant	source	U+516E	兮	329063	CJK UNIFIED IDEOGRAPH-516E
kSemanticVariant	source	U+7559	留	328733	CJK UNIFIED IDEOGRAPH-7559
kSemanticVariant	source	U+6B4C	歌	328155	CJK UNIFIED IDEOGRAPH-6B4C
kSemanticVariant	source	U+7167	照	324465	CJK UNIFIED IDEOGRAPH-7167
kSemanticVariant	source	U+5D57	嵗	323740	CJK UNIFIED IDEOGRAPH-5D57
kSemanticVariant	source	U+5F92	徒	321957	CJK UNIFIED IDEOGRAPH-5F92
kSemanticVariant	source	U+8003	考	321041	CJK UNIFIED IDEOGRAPH-8003
kSemanticVariant	source	U+7B54	答	320768	CJK UNIFIED IDEOGRAPH-7B54
kSemanticVariant	source	U+908A	邊	318590	CJK UNIFIED IDEOGRAPH-908A
kSemanticVariant	source	U+8996	視	318197	CJK UNIFIED IDEOGRAPH-8996
kSemanticVariant	source	U+4EA1	亡	317176	CJK UNIFIED IDEOGRAPH-4EA1
kSemanticVariant	source	U+5099	備	311880	CJK UNIFIED IDEOGRAPH-5099
kSemanticVariant	source	U+5BE7	寧	308609	CJK UNIFIED IDEOGRAPH-5BE7
kSemanticVariant	source	U+767B	登	308021	CJK UNIFIED IDEOGRAPH-767B
kSemanticVariant	source	U+9109	鄉	305902	CJK UNIFIED IDEOGRAPH-9109
kSemanticVariant	source	U+81FA	臺	304802	CJK UNIFIED IDEOGRAPH-81FA
kSemanticVariant	source	U+6069	恩	304654	CJK UNIFIED IDEOGRAPH-6069
kSemanticVariant	source	U+4ED9	仙	302874	CJK UNIFIED IDEOGRAPH-4ED9
kSemanticVariant	source	U+67D0	某	301576	CJK UNIFIED IDEOGRAPH-67D0
kSemanticVariant	source	U+885B	衛	297048	CJK UNIFIED IDEOGRAPH-885B
kSemanticVariant	source	U+756B	畫	296756	CJK UNIFIED IDEOGRAPH-756B
kSemanticVariant	source	U+5BF6	寶	294543	CJK UNIFIED IDEOGRAPH-5BF6
kSemanticVariant	source	U+8077	職	292110	CJK UNIFIED IDEOGRAPH-8077
kSemanticVariant	source	U+6703	會	291527	CJK UNIFIED IDEOGRAPH-6703
kSemanticVariant	source	U+6CC9	泉	291113	CJK UNIFIED IDEOGRAPH-6CC9
kSemanticVariant	source	U+737B	獻	290063	CJK UNIFIED IDEOGRAPH-737B
kSemanticVariant	source	U+84CB	蓋	289096	CJK UNIFIED IDEOGRAPH-84CB
kSemanticVariant	source	U+9077	遷	286221	CJK UNIFIED IDEOGRAPH-9077
kSemanticVariant	source	U+85E5	藥	285991	CJK UNIFIED IDEOGRAPH-85E5
kSemanticVariant	source	U+53C3	參	277136	CJK UNIFIED IDEOGRAPH-53C3
kSemanticVariant	source	U+5433	吳	274556	CJK UNIFIED IDEOGRAPH-5433
kSemanticVariant	source	U+807D	聽	273420	CJK UNIFIED IDEOGRAPH-807D
kSemanticVariant	source	U+7F8E	美	272057	CJK UNIFIED IDEOGRAPH-7F8E
kSemanticVariant	source	U+7AAE	窮	271706	CJK UNIFIED IDEOGRAPH-7AAE
kSemanticVariant	source	U+91CE	野	271321	CJK UNIFIED IDEOGRAPH-91CE
kSemanticVariant	source	U+5BDF	察	270233	CJK UNIFIED IDEOGRAPH-5BDF
kSemanticVariant	source	U+8B49	證	268762	CJK UNIFIED IDEOGRAPH-8B49
kSemanticVariant	source	U+4E88	予	268325	CJK UNIFIED IDEOGRAPH-4E88
kSemanticVariant	source	U+6050	恐	263856	CJK UNIFIED IDEOGRAPH-6050
kSemanticVariant	source	U+725B	牛	260980	CJK UNIFIED IDEOGRAPH-725B
kSemanticVariant	source	U+5668	器	260313	CJK UNIFIED IDEOGRAPH-5668
kSemanticVariant	source	U+7FA3	羣	259832	CJK UNIFIED IDEOGRAPH-7FA3
kSemanticVariant	source	U+5A66	婦	258123	CJK UNIFIED IDEOGRAPH-5A66
kSemanticVariant	source	U+525B	剛	252776	CJK UNIFIED IDEOGRAPH-525B
kSemanticVariant	source	U+5BBF	宿	246492	CJK UNIFIED IDEOGRAPH-5BBF
kSemanticVariant	source	U+8D64	赤	244325	CJK UNIFIED IDEOGRAPH-8D64
kSemanticVariant	source	U+7BA1	管	244172	CJK UNIFIED IDEOGRAPH-7BA1
kSemanticVariant	source	U+5922	夢	243710	CJK UNIFIED IDEOGRAPH-5922
kSemanticVariant	source	U+9867	顧	242615	CJK UNIFIED IDEOGRAPH-9867
kSemanticVariant	source	U+53EA	只	239618	CJK UNIFIED IDEOGRAPH-53EA
kSemanticVariant	source	U+65E0	无	236105	CJK UNIFIED IDEOGRAPH-65E0
kSemanticVariant	source	U+71B1	熱	235342	CJK UNIFIED IDEOGRAPH-71B1
