cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+65BC	於	5230968	U+4E8E	于	1361388	3.842	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+70BA	為	7866090	U+7232	爲	903120	8.710	kSemanticVariant
U+4E91	云	2588090	U+96F2	雲	838687	3.086	kSimplifiedVariant,kTraditionalVariant
U+9EC3	黃	729691	U+9EC4	黄	658562	1.108	kSimplifiedVariant,kTraditionalVariant
U+5185	内	705841	U+5167	內	506257	1.394	kSimplifiedVariant,kTraditionalVariant
U+9AD9	髙	547815	U+9AD8	高	501116	1.093	kSemanticVariant
U+773E	眾	712691	U+8846	衆	407561	1.749	kSemanticVariant
U+9670	陰	704386	U+9682	隂	406898	1.731	kSemanticVariant
U+5225	別	580988	U+522B	别	326500	1.779	kSimplifiedVariant,kTraditionalVariant
U+8AAA	說	1385711	U+8AAC	説	306787	4.517	kZVariant
U+5F8C	後	2400055	U+540E	后	299107	8.024	kSimplifiedVariant,kTraditionalVariant
U+6B72	歲	288426	U+5D57	嵗	280299	1.029	kSemanticVariant
U+9918	餘	979116	U+4F59	余	270185	3.624	kSimplifiedVariant,kTraditionalVariant
U+4E88	予	290762	U+4F59	余	270185	1.076	kSemanticVariant
U+5B50	子	4833991	U+53EA	只	259726	18.612	kSemanticVariant
U+7121	無	5603422	U+65E0	无	228035	24.573	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+865B	虛	548772	U+865A	虚	221899	2.473	kSimplifiedVariant,kTraditionalVariant
U+4E26	並	459623	U+5E76	并	207077	2.220	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+516D	六	1953272	U+9678	陸	202929	9.625	kSpecializedSemanticVariant
U+91CC	里	978477	U+88CF	裏	197962	4.943	kSimplifiedVariant,kTraditionalVariant
U+4E7E	乾	514790	U+5E72	干	197734	2.603	kSimplifiedVariant,kTraditionalVariant
U+9F4A	齊	627494	U+9F4B	齋	188386	3.331	kSpecializedSemanticVariant
U+820D	舍	321983	U+6368	捨	185880	1.732	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+5C07	將	1208274	U+5C06	将	179267	6.740	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+5BAB	宫	396375	U+5BAE	宮	177839	2.229	kSimplifiedVariant,kTraditionalVariant
U+84CB	蓋	375524	U+76D6	盖	177494	2.116	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5BF6	寶	340356	U+5BF3	寳	173044	1.967	kSemanticVariant
U+771F	真	754949	U+771E	眞	170950	4.416	kSemanticVariant
U+5750	坐	454766	U+5EA7	座	170855	2.662	kSpecializedSemanticVariant
U+624D	才	307677	U+8CA1	財	168386	1.827	kSpecializedSemanticVariant
U+84CB	蓋	375524	U+8462	葢	164709	2.280	kSemanticVariant
U+76D6	盖	177494	U+8462	葢	164709	1.078	kSemanticVariant
U+4F86	來	1780533	U+6765	来	161008	11.059	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6EAB	溫	272464	U+6E29	温	158609	1.718	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6C88	沈	155176	U+6C89	沉	153308	1.012	kSemanticVariant,kSpecializedSemanticVariant
U+9593	間	968123	U+9592	閒	152006	6.369	kSpecializedSemanticVariant
U+7D76	絶	275978	U+7D55	絕	146534	1.883	kZVariant
U+6CE8	注	533540	U+8A3B	註	135128	3.948	kSimplifiedVariant,kTraditionalVariant
U+95DC	關	255675	U+95D7	闗	129327	1.977	kSemanticVariant
U+65BC	於	5230968	U+6275	扵	124096	42.153	kSemanticVariant
U+4E8E	于	1361388	U+6275	扵	124096	10.970	kSemanticVariant
U+5F81	征	165872	U+5FB5	徵	123315	1.345	kSimplifiedVariant,kTraditionalVariant
U+8C37	谷	204406	U+7A40	穀	120305	1.699	kSimplifiedVariant,kTraditionalVariant
U+5F37	強	128636	U+5F3A	强	120092	1.071	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
