cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+65BC	於	4724818	U+4E8E	于	1466342	3.222	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+4E91	云	2407318	U+96F2	雲	851211	2.828	kSimplifiedVariant,kTraditionalVariant
U+5F8C	後	2155932	U+540E	后	309353	6.969	kSimplifiedVariant,kTraditionalVariant
U+5B50	子	4600297	U+53EA	只	239618	19.198	kSemanticVariant
U+516D	六	1739476	U+9678	陸	229284	7.587	kSpecializedSemanticVariant
U+9918	餘	912088	U+4F59	余	228752	3.987	kSimplifiedVariant,kTraditionalVariant
U+4E88	予	268325	U+4F59	余	228752	1.173	kSemanticVariant
U+4E26	並	381390	U+5E76	并	213031	1.790	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5C07	將	1148111	U+5C06	将	212259	5.409	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+91CC	里	989487	U+88CF	裏	196368	5.039	kSimplifiedVariant,kTraditionalVariant
U+9F4A	齊	656786	U+9F4B	齋	182902	3.591	kSpecializedSemanticVariant
U+820D	舍	300775	U+6368	捨	171087	1.758	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+4E7E	乾	375465	U+5E72	干	170712	2.199	kSimplifiedVariant,kTraditionalVariant
U+624D	才	306677	U+8CA1	財	164954	1.859	kSpecializedSemanticVariant
U+6CE8	注	552230	U+8A3B	註	163675	3.374	kSimplifiedVariant,kTraditionalVariant
U+5750	坐	437938	U+5EA7	座	161051	2.719	kSpecializedSemanticVariant
U+9593	間	898910	U+9592	閒	155870	5.767	kSpecializedSemanticVariant
U+5F80	往	458238	U+5F83	徃	132280	3.464	kSemanticVariant,kSpecializedSemanticVariant
U+6298	折	182039	U+7FFC	翼	120667	1.509	kSpecializedSemanticVariant
U+95DC	關	186721	U+5BE1	寡	110475	1.690	kSemanticVariant
U+5F81	征	175194	U+5FB5	徵	110039	1.592	kSimplifiedVariant,kTraditionalVariant
