cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+8ECD	軍	991178	U+519B	军	1	991178.000	kSimplifiedVariant,kTraditionalVariant
U+767C	發	695873	U+53D1	发	1	695873.000	kSimplifiedVariant,kTraditionalVariant
U+8CE2	賢	528178	U+8D24	贤	1	528178.000	kSimplifiedVariant,kTraditionalVariant
U+89C0	觀	920609	U+89C2	观	2	460304.500	kSimplifiedVariant,kTraditionalVariant
U+9918	餘	912088	U+9980	馀	2	456044.000	kSimplifiedVariant,kTraditionalVariant
U+99AC	馬	887032	U+9A6C	马	2	443516.000	kSimplifiedVariant,kTraditionalVariant
U+8A54	詔	403345	U+8BCF	诏	1	403345.000	kSimplifiedVariant,kTraditionalVariant
U+8ECA	車	397484	U+8F66	车	1	397484.000	kSimplifiedVariant,kTraditionalVariant
U+8D99	趙	335220	U+8D75	赵	1	335220.000	kSimplifiedVariant,kTraditionalVariant
U+6A39	樹	323397	U+6811	树	1	323397.000	kSimplifiedVariant,kTraditionalVariant
U+694A	楊	306403	U+6768	杨	1	306403.000	kSimplifiedVariant,kTraditionalVariant
U+7E23	縣	1219285	U+53BF	县	4	304821.250	kSimplifiedVariant,kTraditionalVariant
U+9023	連	282459	U+8FDE	连	1	282459.000	kSimplifiedVariant,kTraditionalVariant
U+5713	圓	257468	U+5706	圆	1	257468.000	kSimplifiedVariant,kTraditionalVariant
U+9678	陸	229284	U+9646	陆	1	229284.000	kSimplifiedVariant,kTraditionalVariant
U+54E1	員	212382	U+5458	员	1	212382.000	kSimplifiedVariant,kTraditionalVariant
U+98A8	風	1219759	U+98CE	风	6	203293.167	kSimplifiedVariant,kTraditionalVariant
U+9A0E	騎	202972	U+9A91	骑	1	202972.000	kSimplifiedVariant,kTraditionalVariant
U+52D9	務	199777	U+52A1	务	1	199777.000	kSimplifiedVariant,kTraditionalVariant
U+9CF4	鳴	192803	U+9E23	鸣	1	192803.000	kSimplifiedVariant,kTraditionalVariant
U+8CC7	資	191619	U+8D44	资	1	191619.000	kSimplifiedVariant,kTraditionalVariant
U+73FE	現	381403	U+73B0	现	2	190701.500	kSimplifiedVariant,kTraditionalVariant
U+8F09	載	357438	U+8F7D	载	2	178719.000	kSimplifiedVariant,kTraditionalVariant
U+8CA2	貢	177909	U+8D21	贡	1	177909.000	kSimplifiedVariant,kTraditionalVariant
U+8868	表	352595	U+9336	錶	2	176297.500	kSimplifiedVariant,kTraditionalVariant
U+8CDE	賞	171060	U+8D4F	赏	1	171060.000	kSimplifiedVariant,kTraditionalVariant
U+52D5	動	503094	U+52A8	动	3	167698.000	kSimplifiedVariant,kTraditionalVariant
U+8F15	輕	320291	U+8F7B	轻	2	160145.500	kSimplifiedVariant,kTraditionalVariant
U+8B70	議	460467	U+8BAE	议	3	153489.000	kSimplifiedVariant,kTraditionalVariant
U+9322	錢	447460	U+94B1	钱	3	149153.333	kSimplifiedVariant,kTraditionalVariant
U+85E5	藥	285991	U+836F	药	2	142995.500	kSimplifiedVariant,kTraditionalVariant
U+640D	損	137553	U+635F	损	1	137553.000	kSimplifiedVariant,kTraditionalVariant
U+9298	銘	137227	U+94ED	铭	1	137227.000	kSimplifiedVariant,kTraditionalVariant
U+7E8C	續	136118	U+7EED	续	1	136118.000	kSimplifiedVariant,kTraditionalVariant
U+9F4A	齊	656786	U+9F50	齐	5	131357.200	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+88DC	補	256234	U+8865	补	2	128117.000	kSimplifiedVariant,kTraditionalVariant
U+932B	錫	126749	U+9521	锡	1	126749.000	kSimplifiedVariant,kTraditionalVariant
U+8CC8	賈	125459	U+8D3E	贾	1	125459.000	kSimplifiedVariant,kTraditionalVariant
U+984D	額	123523	U+989D	额	1	123523.000	kSimplifiedVariant,kTraditionalVariant
U+66F8	書	2337514	U+4E66	书	19	123027.053	kSimplifiedVariant,kTraditionalVariant
U+8A63	詣	120881	U+8BE3	诣	1	120881.000	kSimplifiedVariant,kTraditionalVariant
U+9802	頂	120329	U+9876	顶	1	120329.000	kSimplifiedVariant,kTraditionalVariant
U+5BE9	審	119990	U+5BA1	审	1	119990.000	kSimplifiedVariant,kTraditionalVariant
U+8CC0	賀	117920	U+8D3A	贺	1	117920.000	kSimplifiedVariant,kTraditionalVariant
U+56B4	嚴	351944	U+4E25	严	3	117314.667	kSimplifiedVariant,kTraditionalVariant
U+8F3F	輿	116282	U+8206	舆	1	116282.000	kSimplifiedVariant,kTraditionalVariant
U+5C0E	導	114304	U+5BFC	导	1	114304.000	kSimplifiedVariant,kTraditionalVariant
U+9280	銀	223626	U+94F6	银	2	111813.000	kSimplifiedVariant,kTraditionalVariant
U+84EE	蓮	108643	U+83B2	莲	1	108643.000	kSimplifiedVariant,kTraditionalVariant
U+8D0A	贊	106588	U+8D5E	赞	1	106588.000	kSimplifiedVariant,kTraditionalVariant
U+8ED2	軒	106057	U+8F69	轩	1	106057.000	kSimplifiedVariant,kTraditionalVariant
U+65AC	斬	106005	U+65A9	斩	1	106005.000	kSimplifiedVariant,kTraditionalVariant
U+8C9E	貞	211590	U+8D1E	贞	2	105795.000	kSimplifiedVariant,kTraditionalVariant
U+5BB6	家	1157070	U+50A2	傢	11	105188.182	kSimplifiedVariant,kTraditionalVariant
U+98FE	飾	102558	U+9970	饰	1	102558.000	kSimplifiedVariant,kTraditionalVariant
U+9CF3	鳳	99489	U+51E4	凤	1	99489.000	kSimplifiedVariant,kTraditionalVariant
U+7562	畢	198698	U+6BD5	毕	2	99349.000	kSimplifiedVariant,kTraditionalVariant
U+885B	衛	297048	U+536B	卫	3	99016.000	kSimplifiedVariant,kTraditionalVariant
U+8077	職	292110	U+804C	职	3	97370.000	kSimplifiedVariant,kTraditionalVariant
U+93E1	鏡	97289	U+955C	镜	1	97289.000	kSimplifiedVariant,kTraditionalVariant
U+904B	運	290610	U+8FD0	运	3	96870.000	kSimplifiedVariant,kTraditionalVariant
U+50B3	傳	1147932	U+4F20	传	12	95661.000	kSimplifiedVariant,kTraditionalVariant
U+932F	錯	93880	U+9519	错	1	93880.000	kSimplifiedVariant,kTraditionalVariant
U+61B6	憶	93726	U+5FC6	忆	1	93726.000	kSimplifiedVariant,kTraditionalVariant
U+9285	銅	92774	U+94DC	铜	1	92774.000	kSimplifiedVariant,kTraditionalVariant
U+8655	處	1176071	U+5904	处	13	90467.000	kSimplifiedVariant,kTraditionalVariant
U+8B49	證	268762	U+8BC1	证	3	89587.333	kSimplifiedVariant,kTraditionalVariant
U+7F77	罷	179080	U+7F62	罢	2	89540.000	kSimplifiedVariant,kTraditionalVariant
U+8B01	謁	84871	U+8C12	谒	1	84871.000	kSimplifiedVariant,kTraditionalVariant
U+6E6F	湯	254399	U+6C64	汤	3	84799.667	kSimplifiedVariant,kTraditionalVariant
U+9055	違	167721	U+8FDD	违	2	83860.500	kSimplifiedVariant,kTraditionalVariant
U+8A2D	設	331234	U+8BBE	设	4	82808.500	kSimplifiedVariant,kTraditionalVariant
U+8FAF	辯	82405	U+8FA9	辩	1	82405.000	kSimplifiedVariant,kTraditionalVariant
U+9A45	驅	81051	U+9A71	驱	1	81051.000	kSimplifiedVariant,kTraditionalVariant
U+5834	場	78991	U+573A	场	1	78991.000	kSimplifiedVariant,kTraditionalVariant
U+7F70	罰	78966	U+7F5A	罚	1	78966.000	kSimplifiedVariant,kTraditionalVariant
U+7FD2	習	235221	U+4E60	习	3	78407.000	kSimplifiedVariant,kTraditionalVariant
