cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+8868	表	352595	U+9336	錶	2	176297.500	kSimplifiedVariant,kTraditionalVariant
U+5BB6	家	1157070	U+50A2	傢	11	105188.182	kSimplifiedVariant,kTraditionalVariant
U+51FA	出	1870646	U+9F63	齣	45	41569.911	kSimplifiedVariant,kTraditionalVariant
U+56F0	困	101169	U+774F	睏	5	20233.800	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9A5A	驚	184932	U+60CA	惊	17	10878.353	kSimplifiedVariant,kTraditionalVariant
U+8056	聖	898525	U+5723	圣	153	5872.712	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+61F7	懷	150438	U+6000	怀	40	3760.950	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+52DD	勝	538019	U+80DC	胜	157	3426.873	kSimplifiedVariant,kTraditionalVariant
U+6975	極	477214	U+6781	极	145	3291.131	kSimplifiedVariant,kTraditionalVariant
U+677F	板	48043	U+95C6	闆	16	3002.688	kSimplifiedVariant,kTraditionalVariant
U+5FA9	復	1338222	U+590D	复	546	2450.956	kSimplifiedVariant,kTraditionalVariant
U+512A	優	115009	U+4F18	优	50	2300.180	kSimplifiedVariant,kTraditionalVariant
U+522E	刮	8573	U+98B3	颳	4	2143.250	kSimplifiedVariant,kTraditionalVariant
U+64FE	擾	63007	U+6270	扰	37	1702.892	kSimplifiedVariant,kTraditionalVariant
U+61FA	懺	34025	U+5FCF	忏	25	1361.000	kSimplifiedVariant,kTraditionalVariant
U+6F54	潔	60265	U+6D01	洁	45	1339.222	kSimplifiedVariant,kTraditionalVariant
U+89F8	觸	126565	U+89E6	触	111	1140.225	kSimplifiedVariant,kTraditionalVariant
U+53EA	只	239618	U+6220	戠	232	1032.836	kSimplifiedVariant,kTraditionalVariant
U+540C	同	1573689	U+8855	衕	1732	908.596	kSimplifiedVariant,kTraditionalVariant
U+7E6D	繭	12134	U+8327	茧	14	866.714	kSimplifiedVariant,kTraditionalVariant
U+5DBA	嶺	124397	U+5CAD	岭	153	813.052	kSimplifiedVariant,kTraditionalVariant
U+53F0	台	86079	U+6AAF	檯	122	705.566	kSimplifiedVariant,kTraditionalVariant
U+5343	千	1045302	U+97C6	韆	1943	537.984	kSimplifiedVariant,kTraditionalVariant
U+53EA	只	239618	U+8879	衹	488	491.020	kSimplifiedVariant,kTraditionalVariant
U+8499	蒙	115670	U+61DE	懞	258	448.333	kSimplifiedVariant,kTraditionalVariant
U+80E1	胡	268651	U+9B0D	鬍	629	427.108	kSimplifiedVariant,kTraditionalVariant
U+91C7	采	122323	U+57F0	埰	310	394.590	kSimplifiedVariant,kTraditionalVariant
U+8986	覆	199425	U+590D	复	546	365.247	kSimplifiedVariant,kTraditionalVariant
U+6C23	氣	872021	U+6C14	气	2643	329.936	kSimplifiedVariant,kTraditionalVariant
U+53F0	台	86079	U+98B1	颱	264	326.057	kSimplifiedVariant,kTraditionalVariant
U+79CB	秋	718145	U+97A6	鞦	2396	299.727	kSimplifiedVariant,kTraditionalVariant
U+807D	聽	273420	U+542C	听	940	290.872	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+9AD4	體	612893	U+4F53	体	2237	273.980	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+65CB	旋	105742	U+93C7	鏇	458	230.878	kSimplifiedVariant,kTraditionalVariant
U+5411	向	489760	U+66CF	曏	2135	229.396	kSimplifiedVariant,kTraditionalVariant
U+8207	與	2318259	U+4E0E	与	10398	222.952	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7570	異	709283	U+5F02	异	3237	219.117	kSimplifiedVariant,kTraditionalVariant
U+69CB	構	22314	U+6784	构	114	195.737	kSimplifiedVariant,kTraditionalVariant
U+5152	兒	218009	U+513F	儿	1114	195.699	kSimplifiedVariant,kTraditionalVariant
U+80E1	胡	268651	U+885A	衚	1495	179.700	kSimplifiedVariant,kTraditionalVariant
U+96E2	離	569060	U+79BB	离	3388	167.963	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+842C	萬	1184270	U+4E07	万	7074	167.412	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+919F	醟	311	U+848F	蒏	2	155.500	kSimplifiedVariant,kTraditionalVariant
U+51AC	冬	260253	U+9F15	鼕	1752	148.546	kSimplifiedVariant,kTraditionalVariant
U+97FF	響	63209	U+54CD	响	468	135.062	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7C6C	籬	26424	U+7BF1	篱	219	120.658	kSimplifiedVariant,kTraditionalVariant
U+7A2E	種	629615	U+79CD	种	5481	114.872	kSimplifiedVariant,kTraditionalVariant
U+81F4	致	464558	U+7DFB	緻	4082	113.806	kSimplifiedVariant,kTraditionalVariant
U+5BE7	寧	308609	U+5B81	宁	3206	96.260	kSimplifiedVariant,kTraditionalVariant
U+6597	斗	160010	U+9B25	鬥	1852	86.398	kSimplifiedVariant,kTraditionalVariant
U+677E	松	219712	U+9B06	鬆	2611	84.149	kSimplifiedVariant,kTraditionalVariant
U+6A5F	機	232005	U+673A	机	2867	80.923	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9069	適	209229	U+9002	适	2639	79.283	kSimplifiedVariant,kTraditionalVariant
U+91CC	里	989487	U+88E1	裡	13255	74.650	kSimplifiedVariant,kTraditionalVariant
U+87E3	蟣	1895	U+866E	虮	28	67.679	kSimplifiedVariant,kTraditionalVariant
U+4E86	了	252258	U+77AD	瞭	4101	61.511	kSimplifiedVariant,kTraditionalVariant
U+58DE	壞	108762	U+574F	坏	2016	53.949	kSimplifiedVariant,kTraditionalVariant
U+91D0	釐	74312	U+5398	厘	1477	50.313	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9EBC	麼	207945	U+4E48	么	4227	49.194	kSimplifiedVariant,kTraditionalVariant
U+838A	莊	230571	U+5E84	庄	4753	48.511	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6052	恒	138969	U+6046	恆	3045	45.638	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant,kZVariant
U+7DB2	網	60588	U+7F51	网	1350	44.880	kSimplifiedVariant,kTraditionalVariant
U+82E7	苧	5119	U+85B4	薴	116	44.129	kSimplifiedVariant,kTraditionalVariant
U+6190	憐	81358	U+601C	怜	1883	43.207	kSimplifiedVariant,kTraditionalVariant
U+7C3E	簾	48979	U+5E18	帘	1176	41.649	kSimplifiedVariant,kTraditionalVariant
U+9762	面	336503	U+9EB5	麵	8092	41.585	kSimplifiedVariant,kTraditionalVariant
U+82B8	芸	11105	U+8553	蕓	273	40.678	kSimplifiedVariant,kTraditionalVariant
U+9858	願	379039	U+613F	愿	9610	39.442	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+8C50	豐	175711	U+4E30	丰	4558	38.550	kSimplifiedVariant,kTraditionalVariant
U+8499	蒙	115670	U+77C7	矇	3156	36.651	kSimplifiedVariant,kTraditionalVariant
U+5377	卷	604437	U+6372	捲	17282	34.975	kSimplifiedVariant,kTraditionalVariant
U+6C88	沈	163298	U+700B	瀋	4731	34.517	kSimplifiedVariant,kTraditionalVariant
U+85A6	薦	156746	U+8350	荐	4866	32.212	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8907	複	16856	U+590D	复	546	30.872	kSimplifiedVariant,kTraditionalVariant
U+5408	合	868064	U+95A4	閤	28461	30.500	kSimplifiedVariant,kTraditionalVariant
U+9EE8	黨	118671	U+515A	党	4057	29.251	kSimplifiedVariant,kTraditionalVariant
U+6731	朱	332829	U+7843	硃	12007	27.720	kSimplifiedVariant,kTraditionalVariant
U+7BC9	築	117080	U+7B51	筑	4255	27.516	kSimplifiedVariant,kTraditionalVariant
U+514B	克	257219	U+524B	剋	9703	26.509	kSimplifiedVariant,kTraditionalVariant
U+5925	夥	5637	U+4F19	伙	214	26.341	kSimplifiedVariant,kTraditionalVariant
U+64DA	據	230208	U+636E	据	8874	25.942	kSimplifiedVariant,kTraditionalVariant
U+50F9	價	68092	U+4EF7	价	2763	24.644	kSimplifiedVariant,kTraditionalVariant
U+535C	卜	107417	U+8514	蔔	4960	21.657	kSimplifiedVariant,kTraditionalVariant
U+5411	向	489760	U+56AE	嚮	24761	19.779	kSimplifiedVariant,kTraditionalVariant
U+5091	傑	51417	U+6770	杰	2659	19.337	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8511	蔑	15872	U+884A	衊	855	18.564	kSimplifiedVariant,kTraditionalVariant
U+5FD7	志	836851	U+8A8C	誌	46320	18.067	kSimplifiedVariant,kTraditionalVariant
U+5857	塗	104676	U+6D82	涂	5833	17.945	kSimplifiedVariant,kTraditionalVariant
U+8836	蠶	37674	U+8695	蚕	2248	16.759	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+54B8	咸	209912	U+9E79	鹹	12985	16.166	kSimplifiedVariant,kTraditionalVariant
U+78BA	確	30818	U+786E	确	1950	15.804	kSimplifiedVariant,kTraditionalVariant
U+5283	劃	5286	U+5212	划	381	13.874	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+7D2F	累	169718	U+7E8D	纍	14860	11.421	kSimplifiedVariant,kTraditionalVariant
U+50D5	僕	126825	U+4EC6	仆	11203	11.321	kSimplifiedVariant,kTraditionalVariant
U+6298	折	182039	U+647A	摺	16693	10.905	kSimplifiedVariant,kTraditionalVariant
U+5428	吨	37	U+5678	噸	4	9.250	kSimplifiedVariant,kTraditionalVariant
U+53EA	只	239618	U+96BB	隻	29137	8.224	kSimplifiedVariant,kTraditionalVariant
U+5236	制	552860	U+88FD	製	71442	7.739	kSimplifiedVariant,kTraditionalVariant
U+87F2	蟲	84662	U+866B	虫	11103	7.625	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5F8C	後	2155932	U+540E	后	309353	6.969	kSimplifiedVariant,kTraditionalVariant
U+860B	蘋	15043	U+82F9	苹	2167	6.942	kSimplifiedVariant,kTraditionalVariant
U+8499	蒙	115670	U+6FDB	濛	17577	6.581	kSimplifiedVariant,kTraditionalVariant
U+5C38	尸	115560	U+5C4D	屍	18096	6.386	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7E6B	繫	144600	U+7CFB	系	23037	6.277	kSimplifiedVariant,kTraditionalVariant
U+6AC3	櫃	3313	U+67DC	柜	537	6.169	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6FD8	濘	2126	U+6CDE	泞	353	6.023	kSimplifiedVariant,kTraditionalVariant
U+5FA1	御	471800	U+79A6	禦	81522	5.787	kSimplifiedVariant,kTraditionalVariant
U+8D95	趕	3466	U+8D76	赶	603	5.748	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9AAF	骯	941	U+80AE	肮	165	5.703	kSimplifiedVariant,kTraditionalVariant
U+5412	吒	19792	U+54A4	咤	3498	5.658	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+624D	才	306677	U+7E94	纔	55615	5.514	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+5E7E	幾	262443	U+51E0	几	48265	5.438	kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+91CC	里	989487	U+88CF	裏	196368	5.039	kSimplifiedVariant,kTraditionalVariant
U+64B2	撲	17859	U+6251	扑	3617	4.938	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8A60	詠	84842	U+548F	咏	18243	4.651	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+80B4	肴	6751	U+991A	餚	1484	4.549	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+81D8	臘	32992	U+814A	腊	7580	4.353	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5401	吁	21248	U+7C72	籲	4905	4.332	kSimplifiedVariant,kTraditionalVariant
U+8471	葱	21798	U+8525	蔥	5376	4.055	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8646	虆	624	U+8502	蔂	155	4.026	kSimplifiedVariant,kTraditionalVariant
U+9918	餘	912088	U+4F59	余	228752	3.987	kSimplifiedVariant,kTraditionalVariant
U+6F13	漓	7041	U+7055	灕	1778	3.960	kSimplifiedVariant,kTraditionalVariant
U+4FC2	係	89118	U+7CFB	系	23037	3.868	kSimplifiedVariant,kTraditionalVariant
U+75C7	症	13760	U+7665	癥	3676	3.743	kSimplifiedVariant,kTraditionalVariant
U+81FA	臺	304802	U+53F0	台	86079	3.541	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6817	栗	32980	U+6144	慄	9734	3.388	kSimplifiedVariant,kTraditionalVariant
U+6CE8	注	552230	U+8A3B	註	163675	3.374	kSimplifiedVariant,kTraditionalVariant
U+6C84	沄	2192	U+6F90	澐	654	3.352	kSimplifiedVariant,kTraditionalVariant
U+633D	挽	29558	U+8F13	輓	8865	3.334	kSimplifiedVariant,kTraditionalVariant
U+866C	虬	10033	U+866F	虯	3035	3.306	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5E76	并	213031	U+4F75	併	64505	3.303	kSimplifiedVariant,kTraditionalVariant
U+9B31	鬱	59794	U+90C1	郁	18469	3.238	kSimplifiedVariant,kTraditionalVariant
U+65BC	於	4724818	U+4E8E	于	1466342	3.222	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8F9F	辟	121903	U+95E2	闢	39054	3.121	kSimplifiedVariant,kTraditionalVariant
U+5E72	干	170712	U+5E79	幹	55436	3.079	kSimplifiedVariant,kTraditionalVariant
U+4E11	丑	104466	U+919C	醜	34920	2.992	kSimplifiedVariant,kTraditionalVariant
U+8E0A	踊	20290	U+8E34	踴	7095	2.860	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+4E91	云	2407318	U+96F2	雲	851211	2.828	kSimplifiedVariant,kTraditionalVariant
U+68F2	棲	56525	U+6816	栖	21150	2.673	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7AAA	窪	5060	U+6D3C	洼	1903	2.659	kSimplifiedVariant,kTraditionalVariant
U+881F	蠟	16982	U+8721	蜡	6490	2.617	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+6746	杆	2391	U+687F	桿	1019	2.346	kSimplifiedVariant,kTraditionalVariant
U+5382	厂	2066	U+5EE0	廠	883	2.340	kSimplifiedVariant,kTraditionalVariant
U+8C37	谷	194470	U+7A40	穀	83409	2.332	kSimplifiedVariant,kTraditionalVariant
U+8A87	誇	23646	U+5938	夸	10335	2.288	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+8303	范	129559	U+7BC4	範	56947	2.275	kSimplifiedVariant,kTraditionalVariant
